# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 23 01:35:11 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton from B->D->l. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D->l) = 0.096
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 9.8208e+06 5.4390e+06 1.4403e+07 5.8368e+06 1.3930e+07 8.4797e+06 1.1405e+07 8.5843e+06 1.1088e+07
   1.5000 2.1456e+06 1.3326e+06 3.0948e+06 1.4026e+06 3.0202e+06 1.9085e+06 2.4298e+06 1.9162e+06 2.3808e+06
   2.5000 6.1382e+05 4.2026e+05 8.6565e+05 4.3622e+05 8.5123e+05 5.5997e+05 6.7603e+05 5.5882e+05 6.7027e+05
   3.5000 2.2349e+05 1.6341e+05 3.0764e+05 1.6838e+05 3.0384e+05 2.0746e+05 2.4154e+05 2.0573e+05 2.4077e+05
   4.5000 9.6192e+04 7.3408e+04 1.3004e+05 7.5235e+04 1.2864e+05 9.0374e+04 1.0272e+05 8.9405e+04 1.0330e+05
   5.5000 4.6752e+04 3.6250e+04 6.1924e+04 3.6998e+04 6.1363e+04 4.4371e+04 4.9334e+04 4.3670e+04 4.9920e+04
   6.5000 2.4902e+04 1.9556e+04 3.2408e+04 1.9930e+04 3.2141e+04 2.3741e+04 2.6122e+04 2.3318e+04 2.6467e+04
   7.5000 1.4227e+04 1.1319e+04 1.8212e+04 1.1510e+04 1.8077e+04 1.3651e+04 1.4813e+04 1.3363e+04 1.5072e+04
   8.5000 8.5699e+03 6.9146e+03 1.0845e+04 7.0195e+03 1.0762e+04 8.2733e+03 8.9203e+03 8.0717e+03 9.0682e+03
   9.5000 5.4202e+03 4.4015e+03 6.7499e+03 4.4640e+03 6.7008e+03 5.2464e+03 5.6026e+03 5.1149e+03 5.7283e+03
  10.5000 3.5510e+03 2.9081e+03 4.3835e+03 2.9482e+03 4.3526e+03 3.4474e+03 3.6576e+03 3.3533e+03 3.7488e+03
  11.5000 2.4000e+03 1.9809e+03 2.9347e+03 2.0083e+03 2.9136e+03 2.3299e+03 2.4691e+03 2.2685e+03 2.5315e+03
  12.5000 1.6675e+03 1.3852e+03 2.0201e+03 1.4035e+03 2.0054e+03 1.6224e+03 1.7117e+03 1.5782e+03 1.7578e+03
  13.5000 1.1875e+03 9.9094e+02 1.4247e+03 1.0042e+03 1.4150e+03 1.1578e+03 1.2144e+03 1.1232e+03 1.2490e+03
  14.5000 8.6074e+02 7.2281e+02 1.0276e+03 7.3181e+02 1.0205e+03 8.4115e+02 8.7888e+02 8.1581e+02 9.0557e+02
  15.5000 6.3523e+02 5.3658e+02 7.5377e+02 5.4317e+02 7.4842e+02 6.2189e+02 6.4800e+02 6.0240e+02 6.6806e+02
  16.5000 4.7664e+02 4.0432e+02 5.6251e+02 4.0925e+02 5.5843e+02 4.6742e+02 4.8557e+02 4.5206e+02 5.0122e+02
  17.5000 3.6278e+02 3.0895e+02 4.2595e+02 3.1267e+02 4.2278e+02 3.5616e+02 3.6931e+02 3.4426e+02 3.8141e+02
  18.5000 2.7965e+02 2.3880e+02 3.2681e+02 2.4173e+02 3.2438e+02 2.7485e+02 2.8426e+02 2.6525e+02 2.9386e+02
  19.5000 2.1811e+02 1.8698e+02 2.5362e+02 1.8922e+02 2.5171e+02 2.1456e+02 2.2157e+02 2.0707e+02 2.2906e+02
  20.5000 1.7194e+02 1.4791e+02 1.9919e+02 1.4966e+02 1.9766e+02 1.6934e+02 1.7443e+02 1.6330e+02 1.8058e+02
  21.5000 1.3690e+02 1.1801e+02 1.5814e+02 1.1942e+02 1.5686e+02 1.3498e+02 1.3882e+02 1.2998e+02 1.4390e+02
  22.5000 1.1002e+02 9.5034e+01 1.2666e+02 9.6192e+01 1.2566e+02 1.0848e+02 1.1146e+02 1.0445e+02 1.1549e+02
  23.5000 8.9078e+01 7.7189e+01 1.0219e+02 7.8106e+01 1.0138e+02 8.7907e+01 9.0221e+01 8.4653e+01 9.3494e+01
  24.5000 7.2691e+01 6.3161e+01 8.3178e+01 6.3917e+01 8.2502e+01 7.1789e+01 7.3594e+01 6.9082e+01 7.6282e+01
  25.5000 5.9731e+01 5.1985e+01 6.8223e+01 5.2598e+01 6.7661e+01 5.9021e+01 6.0509e+01 5.6794e+01 6.2669e+01
  26.5000 4.9421e+01 4.3092e+01 5.6276e+01 4.3603e+01 5.5805e+01 4.8864e+01 5.0006e+01 4.6992e+01 5.1850e+01
  27.5000 4.1136e+01 3.5945e+01 4.6736e+01 3.6365e+01 4.6339e+01 4.0694e+01 4.1606e+01 3.9139e+01 4.3152e+01
  28.5000 3.4445e+01 3.0142e+01 3.9042e+01 3.0499e+01 3.8707e+01 3.4090e+01 3.4819e+01 3.2765e+01 3.6125e+01
  29.5000 2.8992e+01 2.5427e+01 3.2801e+01 2.5728e+01 3.2515e+01 2.8694e+01 2.9318e+01 2.7590e+01 3.0403e+01
  30.5000 2.4547e+01 2.1535e+01 2.7705e+01 2.1792e+01 2.7466e+01 2.4298e+01 2.4787e+01 2.3357e+01 2.5728e+01
  31.5000 2.0861e+01 1.8332e+01 2.3516e+01 1.8547e+01 2.3309e+01 2.0650e+01 2.1062e+01 1.9862e+01 2.1869e+01
  32.5000 1.7808e+01 1.5669e+01 2.0040e+01 1.5859e+01 1.9862e+01 1.7635e+01 1.7981e+01 1.6944e+01 1.8662e+01
  33.5000 1.5264e+01 1.3449e+01 1.7154e+01 1.3613e+01 1.7002e+01 1.5120e+01 1.5408e+01 1.4525e+01 1.5994e+01
  34.5000 1.3133e+01 1.1586e+01 1.4746e+01 1.1722e+01 1.4611e+01 1.3018e+01 1.3258e+01 1.2509e+01 1.3766e+01
  35.5000 1.1347e+01 1.0016e+01 1.2723e+01 1.0138e+01 1.2605e+01 1.1251e+01 1.1453e+01 1.0800e+01 1.1894e+01
  36.5000 9.8400e+00 8.6984e+00 1.1017e+01 8.8022e+00 1.0915e+01 9.7632e+00 9.9264e+00 9.3706e+00 1.0310e+01
  37.5000 8.5613e+00 7.5759e+00 9.5773e+00 7.6666e+00 9.4886e+00 8.4922e+00 8.6381e+00 8.1542e+00 8.9693e+00
  38.5000 7.4774e+00 6.6177e+00 8.3499e+00 6.6989e+00 8.2733e+00 7.4141e+00 7.5379e+00 7.1184e+00 7.8298e+00
  39.5000 6.5472e+00 5.8041e+00 7.3031e+00 5.8733e+00 7.2355e+00 6.4915e+00 6.5981e+00 6.2390e+00 6.8554e+00
  40.5000 5.7485e+00 5.0999e+00 6.4060e+00 5.1629e+00 6.3456e+00 5.7005e+00 5.7936e+00 5.4739e+00 6.0202e+00
  41.5000 5.0611e+00 4.4948e+00 5.6343e+00 4.5504e+00 5.5805e+00 5.0189e+00 5.1014e+00 4.8202e+00 5.3002e+00
  42.5000 4.4678e+00 3.9714e+00 4.9703e+00 4.0205e+00 4.9219e+00 4.4314e+00 4.5034e+00 4.2557e+00 4.6800e+00
  43.5000 3.9542e+00 3.5164e+00 4.3955e+00 3.5597e+00 4.3526e+00 3.9226e+00 3.9850e+00 3.7670e+00 4.1414e+00
  44.5000 3.5098e+00 3.1222e+00 3.8967e+00 3.1613e+00 3.8592e+00 3.4810e+00 3.5357e+00 3.3427e+00 3.6739e+00
  45.5000 3.1200e+00 2.7786e+00 3.4635e+00 2.8128e+00 3.4282e+00 3.0960e+00 3.1440e+00 2.9731e+00 3.2698e+00
  46.5000 2.7830e+00 2.4785e+00 3.0848e+00 2.5104e+00 3.0547e+00 2.7590e+00 2.8042e+00 2.6496e+00 2.9126e+00
  47.5000 2.4854e+00 2.2142e+00 2.7536e+00 2.2426e+00 2.7264e+00 2.4653e+00 2.5037e+00 2.3664e+00 2.6016e+00
  48.5000 2.2234e+00 1.9832e+00 2.4627e+00 2.0083e+00 2.4374e+00 2.2070e+00 2.2406e+00 2.1178e+00 2.3290e+00
  49.5000 1.9949e+00 1.7802e+00 2.2079e+00 1.8029e+00 2.1850e+00 1.9805e+00 2.0093e+00 1.8998e+00 2.0899e+00
  50.5000 1.7923e+00 1.6000e+00 1.9834e+00 1.6205e+00 1.9622e+00 1.7798e+00 1.8048e+00 1.7069e+00 1.8787e+00
  51.5000 1.6138e+00 1.4408e+00 1.7846e+00 1.4592e+00 1.7654e+00 1.6032e+00 1.6253e+00 1.5370e+00 1.6915e+00
  52.5000 1.4554e+00 1.3005e+00 1.6082e+00 1.3171e+00 1.5907e+00 1.4458e+00 1.4659e+00 1.3862e+00 1.5254e+00
  53.5000 1.3142e+00 1.1757e+00 1.4529e+00 1.1904e+00 1.4371e+00 1.3056e+00 1.3248e+00 1.2528e+00 1.3776e+00
  54.5000 1.1904e+00 1.0643e+00 1.3139e+00 1.0781e+00 1.2998e+00 1.1818e+00 1.1981e+00 1.1338e+00 1.2470e+00
  55.5000 1.0790e+00 9.6458e-01 1.1900e+00 9.7728e-01 1.1770e+00 1.0714e+00 1.0858e+00 1.0272e+00 1.1309e+00
  56.5000 9.7920e-01 8.7615e-01 1.0803e+00 8.8771e-01 1.0685e+00 9.7248e-01 9.8592e-01 9.3226e-01 1.0262e+00
  57.5000 8.9002e-01 7.9728e-01 9.8153e-01 8.0803e-01 9.7056e-01 8.8387e-01 8.9616e-01 8.4710e-01 9.3302e-01
  58.5000 8.1024e-01 7.2557e-01 8.9312e-01 7.3546e-01 8.8301e-01 8.0496e-01 8.1590e-01 7.7088e-01 8.4950e-01
