# FONLL heavy quark hadroproduction cross section, calculated on Fri Aug 23 01:32:06 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(meson->lepton) = 0.1086
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 5.0670e+06 2.8453e+06 7.4559e+06 3.0417e+06 7.2146e+06 4.3964e+06 5.8957e+06 4.4470e+06 5.7059e+06
   1.5000 4.6822e+06 2.5649e+06 6.9142e+06 2.7538e+06 6.6780e+06 4.0443e+06 5.4676e+06 4.0844e+06 5.3000e+06
   2.5000 2.2499e+06 1.3460e+06 3.2589e+06 1.4254e+06 3.1756e+06 1.9842e+06 2.5598e+06 1.9916e+06 2.5050e+06
   3.5000 1.0517e+06 6.8256e+05 1.4993e+06 7.1482e+05 1.4729e+06 9.4539e+05 1.1650e+06 9.4455e+05 1.1524e+06
   4.5000 5.2262e+05 3.6457e+05 7.3471e+05 3.7755e+05 7.2399e+05 4.7929e+05 5.7196e+05 4.7728e+05 5.6732e+05
   5.5000 2.7960e+05 2.0467e+05 3.8748e+05 2.1076e+05 3.8292e+05 2.5989e+05 3.0153e+05 2.5757e+05 3.0153e+05
   6.5000 1.5973e+05 1.2033e+05 2.1705e+05 1.2356e+05 2.1487e+05 1.4961e+05 1.7016e+05 1.4781e+05 1.7143e+05
   7.5000 9.6142e+04 7.3695e+04 1.2849e+05 7.5330e+04 1.2736e+05 9.0849e+04 1.0168e+05 8.9605e+04 1.0258e+05
   8.5000 6.0601e+04 4.7052e+04 7.9743e+04 4.7992e+04 7.9104e+04 5.7639e+04 6.3733e+04 5.6627e+04 6.4376e+04
   9.5000 3.9768e+04 3.1245e+04 5.1676e+04 3.1829e+04 5.1271e+04 3.7902e+04 4.1624e+04 3.7291e+04 4.2225e+04
  10.5000 2.6853e+04 2.1304e+04 3.4425e+04 2.1666e+04 3.4159e+04 2.5736e+04 2.8044e+04 2.5230e+04 2.8445e+04
  11.5000 1.8672e+04 1.4952e+04 2.3692e+04 1.5182e+04 2.3522e+04 1.7965e+04 1.9399e+04 1.7596e+04 1.9747e+04
  12.5000 1.3295e+04 1.0732e+04 1.6690e+04 1.0891e+04 1.6574e+04 1.2831e+04 1.3759e+04 1.2536e+04 1.4043e+04
  13.5000 9.6500e+03 7.8485e+03 1.2008e+04 7.9610e+03 1.1924e+04 9.3390e+03 9.9610e+03 9.1060e+03 1.0188e+04
  14.5000 7.1355e+03 5.8447e+03 8.8034e+03 5.9252e+03 8.7423e+03 6.9194e+03 7.3527e+03 6.7423e+03 7.5267e+03
  15.5000 5.3590e+03 4.4207e+03 6.5601e+03 4.4787e+03 6.5145e+03 5.2125e+03 5.5119e+03 5.0691e+03 5.6489e+03
  16.5000 4.0823e+03 3.3835e+03 4.9721e+03 3.4275e+03 4.9373e+03 3.9747e+03 4.1930e+03 3.8630e+03 4.3026e+03
  17.5000 3.1534e+03 2.6248e+03 3.8104e+03 2.6579e+03 3.7839e+03 3.0775e+03 3.2314e+03 2.9858e+03 3.3211e+03
  18.5000 2.4618e+03 2.0589e+03 2.9558e+03 2.0844e+03 2.9352e+03 2.4091e+03 2.5177e+03 2.3311e+03 2.5915e+03
  19.5000 1.9431e+03 1.6330e+03 2.3221e+03 1.6532e+03 2.3058e+03 1.9030e+03 1.9863e+03 1.8408e+03 2.0443e+03
  20.5000 1.5498e+03 1.3075e+03 1.8403e+03 1.3232e+03 1.8271e+03 1.5192e+03 1.5825e+03 1.4697e+03 1.6300e+03
  21.5000 1.2462e+03 1.0544e+03 1.4731e+03 1.0670e+03 1.4623e+03 1.2230e+03 1.2715e+03 1.1819e+03 1.3105e+03
  22.5000 1.0118e+03 8.5889e+02 1.1916e+03 8.6927e+02 1.1829e+03 9.9294e+02 1.0302e+03 9.5973e+02 1.0638e+03
  23.5000 8.2678e+02 7.0436e+02 9.6949e+02 7.1271e+02 9.6237e+02 8.1276e+02 8.4102e+02 7.8461e+02 8.6896e+02
  24.5000 6.7992e+02 5.8087e+02 7.9510e+02 5.8777e+02 7.8915e+02 6.6948e+02 6.9141e+02 6.4513e+02 7.1461e+02
  25.5000 5.6342e+02 4.8280e+02 6.5606e+02 4.8846e+02 6.5103e+02 5.5541e+02 5.7259e+02 5.3485e+02 5.9210e+02
  26.5000 4.7011e+02 4.0368e+02 5.4549e+02 4.0844e+02 5.4128e+02 4.6326e+02 4.7718e+02 4.4639e+02 4.9394e+02
  27.5000 3.9420e+02 3.3926e+02 4.5609e+02 3.4328e+02 4.5251e+02 3.8851e+02 4.0032e+02 3.7438e+02 4.1402e+02
  28.5000 3.3232e+02 2.8665e+02 3.8341e+02 2.9004e+02 3.8039e+02 3.2778e+02 3.3695e+02 3.1566e+02 3.4897e+02
  29.5000 2.8181e+02 2.4358e+02 3.2410e+02 2.4650e+02 3.2156e+02 2.7791e+02 2.8519e+02 2.6769e+02 2.9584e+02
  30.5000 2.3996e+02 2.0787e+02 2.7534e+02 2.1033e+02 2.7317e+02 2.3680e+02 2.4259e+02 2.2805e+02 2.5187e+02
  31.5000 2.0517e+02 1.7795e+02 2.3490e+02 1.8007e+02 2.3300e+02 2.0264e+02 2.0738e+02 1.9494e+02 2.1539e+02
  32.5000 1.7607e+02 1.5306e+02 2.0124e+02 1.5488e+02 1.9958e+02 1.7417e+02 1.7807e+02 1.6732e+02 1.8482e+02
  33.5000 1.5182e+02 1.3208e+02 1.7307e+02 1.3369e+02 1.7164e+02 1.5003e+02 1.5340e+02 1.4423e+02 1.5931e+02
  34.5000 1.3137e+02 1.1452e+02 1.4952e+02 1.1587e+02 1.4824e+02 1.2989e+02 1.3284e+02 1.2494e+02 1.3790e+02
  35.5000 1.1408e+02 9.9608e+01 1.2961e+02 1.0078e+02 1.2852e+02 1.1292e+02 1.1523e+02 1.0849e+02 1.1966e+02
  36.5000 9.9421e+01 8.6937e+01 1.1272e+02 8.7960e+01 1.1176e+02 9.8377e+01 1.0047e+02 9.4582e+01 1.0429e+02
  37.5000 8.6927e+01 7.6116e+01 9.8411e+01 7.7017e+01 9.7565e+01 8.6042e+01 8.7844e+01 8.2700e+01 9.1155e+01
  38.5000 7.6247e+01 6.6836e+01 8.6219e+01 6.7623e+01 8.5472e+01 7.5488e+01 7.6996e+01 7.2557e+01 7.9958e+01
  39.5000 6.7096e+01 5.8895e+01 7.5706e+01 5.9589e+01 7.5056e+01 6.6442e+01 6.7707e+01 6.3859e+01 7.0322e+01
  40.5000 5.9220e+01 5.2033e+01 6.6722e+01 5.2652e+01 6.6157e+01 5.8630e+01 5.9695e+01 5.6363e+01 6.2035e+01
  41.5000 5.2357e+01 4.6047e+01 5.8929e+01 4.6600e+01 5.8408e+01 5.1840e+01 5.2831e+01 4.9826e+01 5.4877e+01
  42.5000 4.6421e+01 4.0898e+01 5.2192e+01 4.1381e+01 5.1724e+01 4.5968e+01 4.6853e+01 4.4207e+01 4.8656e+01
  43.5000 4.1244e+01 3.6358e+01 4.6327e+01 3.6785e+01 4.5915e+01 4.0865e+01 4.1603e+01 3.9283e+01 4.3216e+01
  44.5000 3.6753e+01 3.2443e+01 4.1223e+01 3.2820e+01 4.0854e+01 3.6405e+01 3.7069e+01 3.5024e+01 3.8503e+01
  45.5000 3.2820e+01 2.8990e+01 3.6751e+01 2.9331e+01 3.6416e+01 3.2515e+01 3.3116e+01 3.1271e+01 3.4381e+01
