# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = lepton (meson = 0.7 D0 + 0.3 D+). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# BR(meson->lepton) = 0.103
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 1.4152e+08 2.8377e+07 3.3675e+08 3.5319e+07 3.3269e+08 1.1866e+08 1.6614e+08 1.0990e+08 1.7252e+08
   1.5000 2.3978e+07 8.3309e+06 4.6099e+07 9.2360e+06 4.5083e+07 1.9786e+07 2.9746e+07 2.0827e+07 2.7244e+07
   2.5000 5.2489e+06 2.8139e+06 8.8096e+06 2.9829e+06 8.6201e+06 4.5351e+06 6.2521e+06 4.7153e+06 5.8030e+06
   3.5000 1.5893e+06 1.0260e+06 2.4458e+06 1.0753e+06 2.3968e+06 1.4121e+06 1.8334e+06 1.4420e+06 1.7376e+06
   4.5000 6.0152e+05 4.2949e+05 8.6671e+05 4.4754e+05 8.5037e+05 5.4631e+05 6.7620e+05 5.4827e+05 6.5467e+05
   5.5000 2.6502e+05 1.9692e+05 3.6714e+05 2.0435e+05 3.6019e+05 2.4452e+05 2.9396e+05 2.4184e+05 2.8809e+05
   6.5000 1.3081e+05 9.9563e+04 1.7545e+05 1.0310e+05 1.7222e+05 1.2185e+05 1.4307e+05 1.1948e+05 1.4214e+05
   7.5000 7.0246e+04 5.4401e+04 9.1979e+04 5.6238e+04 9.0259e+04 6.6105e+04 7.6096e+04 6.4107e+04 7.6374e+04
   8.5000 4.0314e+04 3.1696e+04 5.1786e+04 3.2744e+04 5.0769e+04 3.8213e+04 4.3425e+04 3.6771e+04 4.3868e+04
   9.5000 2.4473e+04 1.9415e+04 3.0907e+04 2.0064e+04 3.0282e+04 2.3278e+04 2.6183e+04 2.2300e+04 2.6646e+04
  10.5000 1.5512e+04 1.2441e+04 1.9298e+04 1.2865e+04 1.8880e+04 1.4811e+04 1.6542e+04 1.4121e+04 1.6902e+04
  11.5000 1.0187e+04 8.2312e+03 1.2582e+04 8.5171e+03 1.2298e+04 9.7592e+03 1.0836e+04 9.2628e+03 1.1114e+04
  12.5000 6.9185e+03 5.6223e+03 8.4698e+03 5.8195e+03 8.2668e+03 6.6445e+03 7.3470e+03 6.2881e+03 7.5551e+03
  13.5000 4.8183e+03 3.9452e+03 5.8644e+03 4.0850e+03 5.7155e+03 4.6474e+03 5.1129e+03 4.3765e+03 5.2684e+03
  14.5000 3.4412e+03 2.8245e+03 4.1468e+03 2.9262e+03 4.0376e+03 3.3207e+03 3.6452e+03 3.1240e+03 3.7585e+03
  15.5000 2.5070e+03 2.0636e+03 3.0036e+03 2.1414e+03 2.9221e+03 2.4215e+03 2.6471e+03 2.2712e+03 2.7408e+03
  16.5000 1.8602e+03 1.5396e+03 2.2201e+03 1.5975e+03 2.1578e+03 1.7984e+03 1.9632e+03 1.6871e+03 2.0342e+03
  17.5000 1.4029e+03 1.1643e+03 1.6654e+03 1.2092e+03 1.6181e+03 1.3575e+03 1.4770e+03 1.2710e+03 1.5337e+03
  18.5000 1.0722e+03 8.9303e+02 1.2680e+03 9.2751e+02 1.2308e+03 1.0393e+03 1.1268e+03 9.7181e+02 1.1732e+03
  19.5000 8.3121e+02 6.9310e+02 9.8035e+02 7.2079e+02 9.5100e+02 8.0525e+02 8.7303e+02 7.5241e+02 9.0959e+02
  20.5000 6.5024e+02 5.4408e+02 7.6519e+02 5.6578e+02 7.4160e+02 6.3108e+02 6.8320e+02 5.8885e+02 7.1173e+02
  21.5000 5.1521e+02 4.3219e+02 6.0480e+02 4.4980e+02 5.8556e+02 5.0037e+02 5.4137e+02 4.6628e+02 5.6413e+02
  22.5000 4.1241e+02 3.4627e+02 4.8258e+02 3.6050e+02 4.6700e+02 4.0026e+02 4.3270e+02 3.7327e+02 4.5155e+02
  23.5000 3.3269e+02 2.7990e+02 3.8855e+02 2.9149e+02 3.7585e+02 3.2290e+02 3.4896e+02 3.0117e+02 3.6421e+02
  24.5000 2.7068e+02 2.2823e+02 3.1545e+02 2.3762e+02 3.0509e+02 2.6317e+02 2.8346e+02 2.4514e+02 2.9633e+02
  25.5000 2.2176e+02 1.8736e+02 2.5796e+02 1.9519e+02 2.4926e+02 2.1578e+02 2.3237e+02 2.0075e+02 2.4277e+02
  26.5000 1.8293e+02 1.5465e+02 2.1243e+02 1.6119e+02 2.0507e+02 1.7798e+02 1.9189e+02 1.6552e+02 2.0023e+02
  27.5000 1.5193e+02 1.2872e+02 1.7618e+02 1.3411e+02 1.7005e+02 1.4832e+02 1.5913e+02 1.3750e+02 1.6634e+02
  28.5000 1.2700e+02 1.0780e+02 1.4702e+02 1.1237e+02 1.4183e+02 1.2391e+02 1.3297e+02 1.1495e+02 1.3905e+02
  29.5000 1.0681e+02 9.0665e+01 1.2350e+02 9.4554e+01 1.1907e+02 1.0403e+02 1.1175e+02 9.6676e+01 1.1701e+02
  30.5000 9.0279e+01 7.6751e+01 1.0408e+02 8.0031e+01 1.0039e+02 8.7952e+01 9.4348e+01 8.1761e+01 9.8736e+01
  31.5000 7.6673e+01 6.5254e+01 8.8389e+01 6.8073e+01 8.5243e+01 7.4675e+01 8.0113e+01 6.9432e+01 8.3883e+01
  32.5000 6.5426e+01 5.5700e+01 7.5333e+01 5.8113e+01 7.2625e+01 6.3716e+01 6.8320e+01 5.9246e+01 7.1585e+01
  33.5000 5.6063e+01 4.7764e+01 6.4486e+01 4.9862e+01 6.2160e+01 5.4549e+01 5.8525e+01 5.0758e+01 6.1326e+01
  34.5000 4.8245e+01 4.1125e+01 5.5413e+01 4.2930e+01 5.3395e+01 4.6968e+01 5.0346e+01 4.3682e+01 5.2767e+01
  35.5000 4.1663e+01 3.5574e+01 4.7828e+01 3.7121e+01 4.6072e+01 4.0561e+01 4.3487e+01 3.7760e+01 4.5567e+01
  36.5000 3.6122e+01 3.0875e+01 4.1433e+01 3.2239e+01 3.9892e+01 3.5175e+01 3.7729e+01 3.2723e+01 3.9501e+01
  37.5000 3.1405e+01 2.6882e+01 3.6000e+01 2.8057e+01 3.4660e+01 3.0612e+01 3.2806e+01 2.8469e+01 3.4330e+01
  38.5000 2.7408e+01 2.3471e+01 3.1404e+01 2.4504e+01 3.0220e+01 2.6708e+01 2.8624e+01 2.4844e+01 2.9973e+01
