# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 02:46:03 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton from B->D->l. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->D->l) = 0.096
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 8.8522e+06 4.9994e+06 1.2909e+07 5.1878e+06 1.2643e+07 7.7117e+06 1.0253e+07 8.5123e+06 9.2006e+06
   1.5000 1.9968e+06 1.2524e+06 2.8618e+06 1.2864e+06 2.8224e+06 1.7837e+06 2.2454e+06 1.9334e+06 2.0659e+06
   2.5000 5.9030e+05 4.0470e+05 8.2441e+05 4.1242e+05 8.1667e+05 5.3942e+05 6.4800e+05 5.7562e+05 6.0557e+05
   3.5000 2.2013e+05 1.6145e+05 3.0077e+05 1.6387e+05 2.9875e+05 2.0419e+05 2.3722e+05 2.1514e+05 2.2550e+05
   4.5000 9.6480e+04 7.4254e+04 1.2955e+05 7.5062e+04 1.2883e+05 9.0912e+04 1.0301e+05 9.4406e+04 9.8592e+04
   5.5000 4.7712e+04 3.7416e+04 6.2613e+04 3.7766e+04 6.2352e+04 4.5235e+04 5.0304e+04 4.6733e+04 4.8701e+04
   6.5000 2.5728e+04 2.0434e+04 3.3249e+04 2.0602e+04 3.3130e+04 2.4518e+04 2.6966e+04 2.5200e+04 2.6227e+04
   7.5000 1.4842e+04 1.1951e+04 1.8874e+04 1.2029e+04 1.8816e+04 1.4246e+04 1.5456e+04 1.4544e+04 1.5130e+04
   8.5000 9.0182e+03 7.3615e+03 1.1317e+04 7.4006e+03 1.1280e+04 8.7082e+03 9.3859e+03 8.8397e+03 9.1968e+03
   9.5000 5.7485e+03 4.7254e+03 7.1089e+03 4.7491e+03 7.0906e+03 5.5613e+03 5.9405e+03 5.6352e+03 5.8618e+03
  10.5000 3.7862e+03 3.1378e+03 4.6405e+03 3.1507e+03 4.6291e+03 3.6816e+03 3.9034e+03 3.7114e+03 3.8611e+03
  11.5000 2.5766e+03 2.1519e+03 3.1313e+03 2.1610e+03 3.1238e+03 2.5056e+03 2.6515e+03 2.5258e+03 2.6275e+03
  12.5000 1.8019e+03 1.5133e+03 2.1677e+03 1.5197e+03 2.1629e+03 1.7530e+03 1.8490e+03 1.7664e+03 1.8374e+03
  13.5000 1.2874e+03 1.0884e+03 1.5373e+03 1.0925e+03 1.5341e+03 1.2557e+03 1.3181e+03 1.2624e+03 1.3133e+03
  14.5000 9.3926e+02 7.9664e+02 1.1128e+03 7.9949e+02 1.1107e+03 9.1805e+02 9.5875e+02 9.2045e+02 9.5808e+02
  15.5000 6.9600e+02 5.9410e+02 8.2051e+02 5.9606e+02 8.1888e+02 6.8189e+02 7.1050e+02 6.8198e+02 7.0992e+02
  16.5000 5.2435e+02 4.4937e+02 6.1433e+02 4.5082e+02 6.1315e+02 5.1418e+02 5.3424e+02 5.1379e+02 5.3501e+02
  17.5000 4.0080e+02 3.4470e+02 4.6694e+02 3.4579e+02 4.6608e+02 3.9341e+02 4.0771e+02 3.9264e+02 4.0886e+02
  18.5000 3.1008e+02 2.6750e+02 3.5971e+02 2.6832e+02 3.5904e+02 3.0470e+02 3.1517e+02 3.0374e+02 3.1642e+02
  19.5000 2.4250e+02 2.1011e+02 2.8017e+02 2.1072e+02 2.7965e+02 2.3875e+02 2.4624e+02 2.3750e+02 2.4749e+02
  20.5000 1.9181e+02 1.6666e+02 2.2073e+02 1.6714e+02 2.2032e+02 1.8893e+02 1.9469e+02 1.8787e+02 1.9574e+02
  21.5000 1.5322e+02 1.3345e+02 1.7563e+02 1.3382e+02 1.7530e+02 1.5110e+02 1.5542e+02 1.5005e+02 1.5638e+02
  22.5000 1.2346e+02 1.0778e+02 1.4099e+02 1.0810e+02 1.4074e+02 1.2173e+02 1.2509e+02 1.2086e+02 1.2595e+02
