# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 01:41:46 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(meson->lepton) = 0.1086
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 4.6200e+06 2.6201e+06 6.6865e+06 2.7285e+06 6.5536e+06 4.0000e+06 5.3263e+06 4.4260e+06 4.8013e+06
   1.5000 4.2183e+06 2.3381e+06 6.1507e+06 2.4365e+06 6.0180e+06 3.6447e+06 4.9014e+06 4.0411e+06 4.3880e+06
   2.5000 2.0643e+06 1.2523e+06 2.9723e+06 1.2884e+06 2.9236e+06 1.8334e+06 2.3490e+06 2.0011e+06 2.1360e+06
   3.5000 9.9231e+05 6.4929e+05 1.4081e+06 6.6442e+05 1.3927e+06 8.9531e+05 1.1007e+06 9.6500e+05 1.0205e+06
   4.5000 5.0564e+05 3.5286e+05 7.0663e+05 3.5910e+05 7.0101e+05 4.6421e+05 5.5130e+05 4.9341e+05 5.1777e+05
   5.5000 2.7560e+05 2.0148e+05 3.7798e+05 2.0443e+05 3.7575e+05 2.5588e+05 2.9594e+05 2.6927e+05 2.8171e+05
   6.5000 1.5930e+05 1.2119e+05 2.1576e+05 1.2262e+05 2.1466e+05 1.4961e+05 1.6985e+05 1.5572e+05 1.6278e+05
   7.5000 9.7280e+04 7.5530e+04 1.2950e+05 7.6310e+04 1.2894e+05 9.1861e+04 1.0294e+05 9.5288e+04 9.9273e+04
   8.5000 6.1993e+04 4.8707e+04 8.1109e+04 4.9130e+04 8.0802e+04 5.8914e+04 6.5177e+04 6.0728e+04 6.3226e+04
   9.5000 4.0981e+04 3.2572e+04 5.2852e+04 3.2810e+04 5.2652e+04 3.9167e+04 4.2994e+04 4.0169e+04 4.1793e+04
  10.5000 2.7950e+04 2.2419e+04 3.5717e+04 2.2573e+04 3.5604e+04 2.6779e+04 2.9152e+04 2.7401e+04 2.8498e+04
  11.5000 1.9547e+04 1.5825e+04 2.4696e+04 1.5920e+04 2.4618e+04 1.8809e+04 2.0348e+04 1.9157e+04 1.9937e+04
  12.5000 1.4001e+04 1.1443e+04 1.7496e+04 1.1502e+04 1.7449e+04 1.3527e+04 1.4507e+04 1.3727e+04 1.4265e+04
  13.5000 1.0247e+04 8.4061e+03 1.2670e+04 8.4513e+03 1.2641e+04 9.8946e+03 1.0564e+04 1.0046e+04 1.0443e+04
  14.5000 7.6026e+03 6.2936e+03 9.3298e+03 6.3206e+03 9.3074e+03 7.3843e+03 7.8366e+03 7.4539e+03 7.7512e+03
  15.5000 5.7386e+03 4.7789e+03 6.9856e+03 4.7981e+03 6.9689e+03 5.5836e+03 5.9073e+03 5.6268e+03 5.8514e+03
  16.5000 4.3975e+03 3.6771e+03 5.3117e+03 3.6911e+03 5.3000e+03 4.2857e+03 4.5145e+03 4.3110e+03 4.4850e+03
  17.5000 3.4086e+03 2.8634e+03 4.0940e+03 2.8740e+03 4.0854e+03 3.3253e+03 3.4929e+03 3.3411e+03 3.4760e+03
  18.5000 2.6706e+03 2.2561e+03 3.1874e+03 2.2636e+03 3.1808e+03 2.6126e+03 2.7338e+03 2.6178e+03 2.7233e+03
  19.5000 2.1170e+03 1.7952e+03 2.5109e+03 1.8008e+03 2.5061e+03 2.0749e+03 2.1613e+03 2.0749e+03 2.1592e+03
  20.5000 1.6943e+03 1.4408e+03 1.9976e+03 1.4455e+03 1.9937e+03 1.6605e+03 1.7291e+03 1.6595e+03 1.7280e+03
  21.5000 1.3674e+03 1.1688e+03 1.6047e+03 1.1724e+03 1.6015e+03 1.3421e+03 1.3948e+03 1.3400e+03 1.3948e+03
  22.5000 1.1112e+03 9.5343e+02 1.3006e+03 9.5615e+02 1.2978e+03 1.0923e+03 1.1334e+03 1.0891e+03 1.1344e+03
  23.5000 9.1208e+02 7.8461e+02 1.0625e+03 7.8693e+02 1.0606e+03 8.9637e+02 9.2694e+02 8.9363e+02 9.3063e+02
  24.5000 7.5330e+02 6.4948e+02 8.7360e+02 6.5135e+02 8.7201e+02 7.4117e+02 7.6532e+02 7.3791e+02 7.6859e+02
  25.5000 6.2488e+02 5.4067e+02 7.2283e+02 5.4212e+02 7.2146e+02 6.1592e+02 6.3511e+02 6.1213e+02 6.3764e+02
  26.5000 5.2251e+02 4.5328e+02 6.0209e+02 4.5451e+02 6.0095e+02 5.1524e+02 5.3052e+02 5.1176e+02 5.3327e+02
  27.5000 4.3954e+02 3.8198e+02 5.0478e+02 3.8303e+02 5.0385e+02 4.3342e+02 4.4587e+02 4.3047e+02 4.4850e+02
  28.5000 3.7143e+02 3.2341e+02 4.2560e+02 3.2430e+02 4.2478e+02 3.6637e+02 3.7681e+02 3.6373e+02 3.7913e+02
  29.5000 3.1545e+02 2.7537e+02 3.6042e+02 2.7612e+02 3.5973e+02 3.1134e+02 3.1977e+02 3.0891e+02 3.2198e+02
  30.5000 2.6927e+02 2.3541e+02 3.0673e+02 2.3606e+02 3.0617e+02 2.6579e+02 2.7254e+02 2.6368e+02 2.7486e+02
  31.5000 2.3100e+02 2.0227e+02 2.6255e+02 2.0285e+02 2.6210e+02 2.2794e+02 2.3332e+02 2.2615e+02 2.3574e+02
  32.5000 1.9863e+02 1.7434e+02 2.2529e+02 1.7480e+02 2.2488e+02 1.9631e+02 2.0063e+02 1.9452e+02 2.0285e+02
  33.5000 1.7143e+02 1.5080e+02 1.9416e+02 1.5119e+02 1.9378e+02 1.6974e+02 1.7333e+02 1.6784e+02 1.7512e+02
  34.5000 1.4876e+02 1.3091e+02 1.6794e+02 1.3126e+02 1.6763e+02 1.4718e+02 1.5024e+02 1.4560e+02 1.5182e+02
  35.5000 1.2936e+02 1.1409e+02 1.4589e+02 1.1439e+02 1.4560e+02 1.2810e+02 1.3084e+02 1.2662e+02 1.3210e+02
  36.5000 1.1302e+02 9.9757e+01 1.2719e+02 1.0003e+02 1.2694e+02 1.1186e+02 1.1408e+02 1.1060e+02 1.1545e+02
  37.5000 9.8957e+01 8.7491e+01 1.1124e+02 8.7728e+01 1.1102e+02 9.7945e+01 9.9937e+01 9.6869e+01 1.0104e+02
