# FONLL heavy quark hadroproduction cross section, calculated on Thu Mar 30 04:28:20 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = lepton (meson = 0.7 D0 + 0.3 D+). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# BR(meson->lepton) = 0.103
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0.5
# ptmax = 299.5
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.5000 1.1907e+08 1.6270e+07 2.8197e+08 1.9972e+07 2.7934e+08 9.9045e+07 1.4183e+08 1.0046e+08 1.3730e+08
   1.5000 2.1331e+07 7.6218e+06 4.0616e+07 8.1586e+06 3.9933e+07 1.7675e+07 2.6296e+07 2.0301e+07 2.2433e+07
   2.5000 4.8770e+06 2.6299e+06 8.0790e+06 2.7367e+06 7.9485e+06 4.2096e+06 5.7701e+06 4.7246e+06 5.0233e+06
   3.5000 1.5151e+06 9.8403e+05 2.3081e+06 1.0132e+06 2.2742e+06 1.3462e+06 1.7407e+06 1.4750e+06 1.5553e+06
   4.5000 5.8442e+05 4.2117e+05 8.3767e+05 4.3064e+05 8.2668e+05 5.3169e+05 6.5673e+05 5.6949e+05 5.9925e+05
   5.5000 2.6193e+05 1.9853e+05 3.5945e+05 2.0219e+05 3.5525e+05 2.4184e+05 2.8943e+05 2.5503e+05 2.6862e+05
   6.5000 1.3102e+05 1.0172e+05 1.7365e+05 1.0331e+05 1.7180e+05 1.2216e+05 1.4296e+05 1.2751e+05 1.3442e+05
   7.5000 7.1049e+04 5.6317e+04 9.2042e+04 5.7021e+04 9.1093e+04 6.6971e+04 7.6972e+04 6.9154e+04 7.3017e+04
   8.5000 4.1179e+04 3.3080e+04 5.2186e+04 3.3454e+04 5.1665e+04 3.9027e+04 4.4311e+04 4.0046e+04 4.2364e+04
   9.5000 2.5204e+04 2.0460e+04 3.1364e+04 2.0682e+04 3.1075e+04 2.3999e+04 2.6914e+04 2.4421e+04 2.5946e+04
  10.5000 1.6068e+04 1.3192e+04 1.9790e+04 1.3328e+04 1.9601e+04 1.5347e+04 1.7129e+04 1.5574e+04 1.6562e+04
  11.5000 1.0630e+04 8.8122e+03 1.2919e+04 8.8982e+03 1.2793e+04 1.0189e+04 1.1299e+04 1.0297e+04 1.0970e+04
  12.5000 7.2533e+03 6.0522e+03 8.7397e+03 6.1110e+03 8.6499e+03 6.9659e+03 7.7044e+03 7.0184e+03 7.4881e+03
  13.5000 5.0882e+03 4.2699e+03 6.0730e+03 4.3106e+03 6.0111e+03 4.8976e+03 5.3879e+03 4.9193e+03 5.2561e+03
  14.5000 3.6483e+03 3.0793e+03 4.3299e+03 3.1085e+03 4.2848e+03 3.5174e+03 3.8584e+03 3.5247e+03 3.7719e+03
  15.5000 2.6687e+03 2.2633e+03 3.1431e+03 2.2845e+03 3.1096e+03 2.5781e+03 2.8181e+03 2.5760e+03 2.7604e+03
  16.5000 1.9879e+03 1.6919e+03 2.3266e+03 1.7077e+03 2.3021e+03 1.9220e+03 2.0940e+03 1.9189e+03 2.0569e+03
  17.5000 1.5048e+03 1.2858e+03 1.7539e+03 1.2978e+03 1.7345e+03 1.4575e+03 1.5841e+03 1.4513e+03 1.5594e+03
  18.5000 1.1546e+03 9.8987e+02 1.3406e+03 9.9951e+02 1.3256e+03 1.1186e+03 1.2144e+03 1.1124e+03 1.1969e+03
  19.5000 8.9764e+02 7.7190e+02 1.0376e+03 7.7930e+02 1.0258e+03 8.7097e+02 9.4338e+02 8.6458e+02 9.3061e+02
  20.5000 7.0617e+02 6.0799e+02 8.1377e+02 6.1409e+02 8.0433e+02 6.8474e+02 7.4181e+02 6.7970e+02 7.3212e+02
  21.5000 5.6042e+02 4.8507e+02 6.4347e+02 4.8987e+02 6.3582e+02 5.4446e+02 5.8803e+02 5.3931e+02 5.8164e+02
  22.5000 4.5001e+02 3.8974e+02 5.1496e+02 3.9377e+02 5.0882e+02 4.3682e+02 4.7164e+02 4.3281e+02 4.6711e+02
  23.5000 3.6400e+02 3.1592e+02 4.1573e+02 3.1920e+02 4.1066e+02 3.5360e+02 3.8131e+02 3.4999e+02 3.7811e+02
  24.5000 2.9695e+02 2.5826e+02 3.3849e+02 2.6100e+02 3.3424e+02 2.8850e+02 3.1116e+02 2.8541e+02 3.0849e+02
  25.5000 2.4421e+02 2.1264e+02 2.7739e+02 2.1496e+02 2.7388e+02 2.3731e+02 2.5565e+02 2.3453e+02 2.5369e+02
  26.5000 2.0219e+02 1.7636e+02 2.2895e+02 1.7829e+02 2.2609e+02 1.9673e+02 2.1136e+02 1.9405e+02 2.1002e+02
  27.5000 1.6799e+02 1.4689e+02 1.9036e+02 1.4842e+02 1.8777e+02 1.6367e+02 1.7603e+02 1.6140e+02 1.7469e+02
  28.5000 1.4070e+02 1.2321e+02 1.5912e+02 1.2453e+02 1.5697e+02 1.3720e+02 1.4729e+02 1.3503e+02 1.4626e+02
  29.5000 1.1866e+02 1.0395e+02 1.3384e+02 1.0506e+02 1.3205e+02 1.1567e+02 1.2401e+02 1.1392e+02 1.2339e+02
