pt1 pt2   xsec   stat(%) syst(%)
 20 21   4.58E+01   0.7   4.6 
 21 22   3.53E+01   0.6   4.8 
 22 23   2.74E+01   0.7   4.6 
 23 24   2.18E+01   0.7   4.5 
 24 25   1.76E+01   0.8   4.5 
 25 26   1.43E+01   0.9   4.5 
 26 27   1.17E+01   0.9   4.5 
 27 28   9.75E+00   1.0   4.5 
 28 29   7.99E+00   1.1   4.5 
 29 30   6.70E+00   1.2   4.5 
 30 32   5.20E+00   1.0   4.6 
 32 34   3.72E+00   1.1   4.7 
 34 36   2.75E+00   1.3   5.0 
 36 38   2.00E+00   1.5   5.5 
 38 42   1.39E+00   1.3   5.8 
 42 46   7.96E-01   1.7   6.2 
 46 50   5.08E-01   2.1   6.3 
 50 60   2.54E-01   1.9   7.2 
 60 75   8.28E-02   2.7   7.3 
 75 95   2.39E-02   4.4   6.3 
 95 120   7.42E-03   7.7   7.9 
120 150   1.53E-03   17   7.9 
