pt1 pt2   xsec   stat(%) syst(%)
 20 22   1.60E+00   1.8   6.7 
 22 24   1.13E+00   2.0   6.2 
 24 26   7.88E-01   2.4   6.1 
 26 28   5.79E-01   2.8   6.3 
 28 30   3.96E-01   3.3   6.8 
 30 32   3.01E-01   3.8   7.0 
 32 34   2.34E-01   4.3   6.8 
 34 36   1.82E-01   4.7   7.9 
 36 38   1.34E-01   5.4   8.0 
 38 40   1.19E-01   5.7   7.9 
 40 43   7.33E-02   6.1   6.1 
 43 46   4.59E-02   7.7   5.8 
 46 50   3.24E-02   7.7   6.0 
 50 55   2.24E-02   8.4   6.9 
 55 60   1.43E-02   11   8.3 
 60 70   7.36E-03   10   10 
 70 100   1.98E-03   12   13 
100 130   2.30E-04   48   13 
