{6, 0.23055137352600197, 0.3054000538421459, 0.38024873415828986}
{8, 0.12530971913686528, 0.15626715044887063, 0.18722458176087597}
{10, 0.06869123806544265, 0.08218089960430791, 0.09567056114317317}
{12, 0.03825177371116202, 0.044501593584820726, 0.05075141345847943}
{14, 0.021797492403875122, 0.024910071154481836, 0.028022649905088536}
{16, 0.012925241661576634, 0.014611566874799881, 0.016297892088023135}
{18, 0.007981400229346845, 0.00897233615168046, 0.009963272074014077}
{20, 0.005081155850007575, 0.005702483485261549, 0.00632381112051552}
{22, 0.003324014253683974, 0.0037334576618453835, 0.004142901070006793}
{24, 0.0022337240933810593, 0.0025146873696644256, 0.002795650645947792}
{26, 0.001543195937637127, 0.0017428798739694443, 0.0019425638103017615}
{28, 0.0010936956669795057, 0.0012395836784631319, 0.001385471689946758}
{30, 0.0007917144190843049, 0.0009004815942505381, 0.001009248769416771}
{32, 0.0005819163156262532, 0.0006641898039098958, 0.0007464632921935384}
{34, 0.000434641644269415, 0.000497739907255565, 0.0005608381702417151}
{36, 0.0003294891478600313, 0.00037847779349997775, 0.0004274664391399242}
{38, 0.00025321180196185276, 0.00029167031816880196, 0.00033012883437575117}
{40, 0.0001970401481591801, 0.00022754202272082607, 0.00025804389728247213}
{42, 0.0001550366474548802, 0.00017946669114965498, 0.00020389673484442976}
{44, 0.00012329966209165743, 0.000143038904725833, 0.00016277814736000856}
{46, 0.0000990301377028319, 0.00011510890301003342, 0.00013118766831723492}
{48, 0.00008025827524735997, 0.0000934535104990706, 0.00010664874575078124}
{50, 0.00006556315813082074, 0.000076462287836872, 0.00008736141754292328}
{52, 0.000053898188737893706, 0.00006295419177084979, 0.00007201019480380587}
{54, 0.00004462208138382145, 0.00005219220930799218, 0.00005976233723216291}
{56, 0.00003718813470948988, 0.00004355232605230381, 0.000049916517395117724}
{58, 0.000031185953058926775, 0.00003656507161815748, 0.00004194419017738819}
{60, 0.00002630652138811646, 0.000030876260323324956, 0.00003544599925853345}
{62, 0.000022313193375441614, 0.000026213853118633762, 0.00003011451286182591}
{64, 0.000019020283727542716, 0.00002236428838361309, 0.000025708293039683463}
{66, 0.00001628697104922372, 0.000019165191303488286, 0.000022043411557752852}
{68, 0.000014003735810763093, 0.00001649005239689253, 0.000018976368983021965}
{70, 0.000012079633062411773, 0.00001423286935378547, 0.00001638610564515917}
{72, 0.000010442210906577609, 0.000012311486836216918, 0.000014180762765856228}
{74, 9.056860023477746*^-6, 0.000010684695420669795, 0.000012312530817861844}
{76, 7.881431009437631*^-6, 9.303458315789053*^-6, 0.000010725485622140475}
{78, 6.881321719834128*^-6, 8.127473905979775*^-6, 9.373626092125422*^-6}
{80, 6.030061266882393*^-6, 7.126198691740206*^-6, 8.222336116598018*^-6}
{82, 5.305291980635443*^-6, 6.2728702960309145*^-6, 7.240448611426384*^-6}
{84, 4.681425182406565*^-6, 5.5378824325302026*^-6, 6.3943396826538405*^-6}
{86, 4.141966826227741*^-6, 4.901961205134346*^-6, 5.661955584040951*^-6}
{88, 3.673442541873003*^-6, 4.349349507894623*^-6, 5.025256473916242*^-6}
{90, 3.263505097027231*^-6, 3.865390123469575*^-6, 4.467275149911918*^-6}
{92, 2.9025116625734997*^-6, 3.439296095869931*^-6, 3.976080529166362*^-6}
{94, 2.5865025454306857*^-6, 3.0661429076734777*^-6, 3.5457832699162696*^-6}
{96, 2.309477567598203*^-6, 2.738882338337719*^-6, 3.168287109077235*^-6}
{98, 2.066281885530851*^-6, 2.451457971534357*^-6, 2.8366340575378637*^-6}
{100, 1.852481289245764*^-6, 2.1986590191072703*^-6, 2.544836748968776*^-6}
{102, 1.6642567404211804*^-6, 1.975996664319978*^-6, 2.2877365882187758*^-6}
{104, 1.4983150357143987*^-6, 1.7795992910278517*^-6, 2.060883546341305*^-6}
{106, 1.351813014618832*^-6, 1.6061235837146375*^-6, 1.860434152810443*^-6}
{108, 1.2222931665825974*^-6, 1.4526789894513614*^-6, 1.6830648123201254*^-6}
{110, 1.1076288492285311*^-6, 1.3167634487491962*^-6, 1.5258980482698613*^-6}
{112, 1.0059776235404913*^-6, 1.1962086452708405*^-6, 1.3864396670011896*^-6}
{114, 9.157414547927176*^-7, 1.0891333081224725*^-6, 1.2625251614522274*^-6}
{116, 8.35532729306068*^-7, 9.93903335874447*^-7, 1.1522739424428262*^-6}
{118, 7.641452044108258*^-7, 9.090977072930115*^-7, 1.0540502101751971*^-6}
{120, 7.005291483795711*^-7, 8.3347930704965*^-7, 9.66429465719729*^-7}
