# Hi Claudio
#  just got the dsigma/dpt for J/psi production with |y|<1 at 13 TeV based on
# CGC+NRQCD. For more details, please refer to Phys.Rev.Lett. 113 (2014) no.19,
# 192301. The form is {pt, min_value, max_value}:
#
# Added a point at 0.1 as lin extrap from 0.2 and 0.3 (Claudio 8 AUg 2019)
{0.1, 227.442, 451.68}
{0.2, 453.793, 900.825}
{0.3, 680.164, 1349.97}
{0.4, 910.8, 1806.98}
{0.5, 1141.05, 2262.64}
{0.6, 1372.93, 2721.12}
{0.7, 1602.39, 3174.36}
{0.8, 1826.63, 3616.79}
{0.9, 2043.82, 4044.8}
{1., 2252.2, 4454.89}
{1.1, 2454.26, 4851.73}
{1.2, 2641.43, 5218.9}
{1.3, 2809.29, 5547.98}
{1.4, 2955.59, 5834.6}
{1.5, 3079.76, 6077.62}
{1.6, 3182.29, 6277.92}
{1.7, 3261.49, 6432.4}
{1.8, 3317.55, 6541.46}
{1.9, 3350.89, 6605.99}
{2., 3362.19, 6627.34}
{2.1, 3351.9, 6606.41}
{2.2, 3323.41, 6549.87}
{2.3, 3279.85, 6463.81}
{2.4, 3222.64, 6351.02}
{2.5, 3152.01, 6212.02}
{2.6, 3068.33, 6047.58}
{2.7, 2975.15, 5864.55}
{2.8, 2874.62, 5667.16}
{2.9, 2768.67, 5459.17}
{3., 2658.98, 5243.87}
{3.1, 2546.86, 5023.89}
{3.2, 2433.78, 4802.04}
{3.3, 2320.85, 4580.49}
{3.4, 2209., 4361.07}
{3.5, 2098.99, 4145.24}
{3.6, 1991.68, 3934.57}
{3.7, 1887.18, 3729.45}
{3.8, 1785.86, 3530.57}
{3.9, 1687.97, 3338.46}
{4., 1593.7, 3153.51}
{4.1, 1502.56, 2974.99}
{4.2, 1415.54, 2804.54}
{4.3, 1332.76, 2642.28}
{4.4, 1254.23, 2488.23}
{4.5, 1179.9, 2342.27}
{4.6, 1110.02, 2204.54}
{4.7, 1043.99, 2074.29}
{4.8, 981.651, 1951.26}
{4.9, 922.822, 1835.15}
{5., 867.341, 1725.66}
{5.1, 814.885, 1622.33}
{5.2, 765.532, 1525.11}
{5.3, 719.148, 1433.72}
{5.4, 675.595, 1347.88}
{5.5, 634.728, 1267.31}
{5.6, 596.422, 1191.7}
{5.7, 560.509, 1120.78}
{5.8, 526.85, 1054.28}
{5.9, 495.311, 991.927}
{6., 465.763, 933.484}
{6.1, 438.103, 878.749}
{6.2, 412.195, 827.451}
{6.3, 387.925, 779.372}
{6.4, 365.189, 734.306}
{6.5, 343.887, 692.059}
{6.6, 323.926, 652.45}
{6.7, 305.219, 615.308}
{6.8, 287.684, 580.473}
{6.9, 271.245, 547.796}
{7., 255.83, 517.135}
{7.1, 241.307, 488.232}
{7.2, 227.691, 461.12}
{7.3, 214.927, 435.687}
{7.4, 202.96, 411.826}
{7.5, 191.739, 389.438}
{7.6, 181.217, 368.429}
{7.7, 171.347, 348.71}
{7.8, 162.088, 330.197}
{7.9, 153.4, 312.814}
{8., 145.246, 296.487}
