# Job started on: Fri Jul  5 03:19:25 CEST 2019 ................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jul  5 03:22:03 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 10
# etamin = -4
# etamax = 4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  -4.0000 3.9753e+05 2.3574e+05 5.8745e+05 2.5160e+05 5.6944e+05 3.3930e+05 4.6841e+05 3.5890e+05 4.3616e+05
  -3.7419 4.3628e+05 2.5783e+05 6.4345e+05 2.7504e+05 6.2396e+05 3.7364e+05 5.1226e+05 3.9243e+05 4.8012e+05
  -3.4839 4.7247e+05 2.7817e+05 6.9559e+05 2.9661e+05 6.7477e+05 4.0600e+05 5.5286e+05 4.2340e+05 5.2142e+05
  -3.2258 5.0530e+05 2.9646e+05 7.4283e+05 3.1598e+05 7.2071e+05 4.3546e+05 5.8963e+05 4.5147e+05 5.5924e+05
  -2.9677 5.3383e+05 3.1220e+05 7.8390e+05 3.3269e+05 7.6073e+05 4.6122e+05 6.2130e+05 4.7560e+05 5.9218e+05
  -2.7097 5.5715e+05 3.2497e+05 8.1710e+05 3.4626e+05 7.9309e+05 4.8244e+05 6.4682e+05 4.9509e+05 6.1932e+05
  -2.4516 5.7420e+05 3.3452e+05 8.4115e+05 3.5635e+05 8.1664e+05 4.9834e+05 6.6503e+05 5.0912e+05 6.3928e+05
  -2.1936 5.8383e+05 3.4002e+05 8.5446e+05 3.6204e+05 8.2975e+05 5.0785e+05 6.7477e+05 5.1690e+05 6.5088e+05
  -1.9355 5.8545e+05 3.4124e+05 8.5566e+05 3.6320e+05 8.3126e+05 5.1028e+05 6.7500e+05 5.1771e+05 6.5308e+05
  -1.6774 5.7826e+05 3.3788e+05 8.4424e+05 3.5937e+05 8.2047e+05 5.0506e+05 6.6526e+05 5.1110e+05 6.4542e+05
  -1.4194 5.6272e+05 3.2987e+05 8.2046e+05 3.5055e+05 7.9773e+05 4.9254e+05 6.4589e+05 4.9729e+05 6.2814e+05
  -1.1613 5.4010e+05 3.1806e+05 7.8668e+05 3.3768e+05 7.6525e+05 4.7374e+05 6.1874e+05 4.7746e+05 6.0274e+05
  -0.9032 5.1342e+05 3.0370e+05 7.4685e+05 3.2213e+05 7.2686e+05 4.5124e+05 5.8696e+05 4.5402e+05 5.7281e+05
  -0.6452 4.8685e+05 2.8930e+05 7.0757e+05 3.0659e+05 6.8892e+05 4.2862e+05 5.5564e+05 4.3082e+05 5.4300e+05
  -0.3871 4.6539e+05 2.7750e+05 6.7589e+05 2.9394e+05 6.5830e+05 4.1018e+05 5.3047e+05 4.1192e+05 5.1887e+05
  -0.1290 4.5333e+05 2.7086e+05 6.5815e+05 2.8675e+05 6.4113e+05 3.9985e+05 5.1643e+05 4.0148e+05 5.0530e+05
   0.1290 4.5344e+05 2.7080e+05 6.5810e+05 2.8675e+05 6.4113e+05 3.9985e+05 5.1643e+05 4.0148e+05 5.0530e+05
   0.3871 4.6551e+05 2.7748e+05 6.7597e+05 2.9394e+05 6.5842e+05 4.1018e+05 5.3058e+05 4.1203e+05 5.1887e+05
   0.6452 4.8697e+05 2.8942e+05 7.0783e+05 3.0670e+05 6.8916e+05 4.2874e+05 5.5587e+05 4.3094e+05 5.4311e+05
   0.9032 5.1365e+05 3.0379e+05 7.4719e+05 3.2225e+05 7.2720e+05 4.5136e+05 5.8719e+05 4.5426e+05 5.7304e+05
   1.1613 5.4033e+05 3.1815e+05 7.8705e+05 3.3779e+05 7.6560e+05 4.7398e+05 6.1898e+05 4.7757e+05 6.0308e+05
   1.4194 5.6295e+05 3.3003e+05 8.2094e+05 3.5067e+05 7.9820e+05 4.9288e+05 6.4624e+05 4.9752e+05 6.2837e+05
   1.6774 5.7849e+05 3.3804e+05 8.4475e+05 3.5948e+05 8.2093e+05 5.0541e+05 6.6561e+05 5.1133e+05 6.4577e+05
   1.9355 5.8568e+05 3.4137e+05 8.5600e+05 3.6331e+05 8.3160e+05 5.1052e+05 6.7524e+05 5.1794e+05 6.5331e+05
