# Job started on: Fri Jul  5 04:05:58 CEST 2019 ...............
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jul  5 04:08:21 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 10
# ymin  = -4
# ymax  = 4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dy (pb)
# y       central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  -4.0000 3.1390e+05 1.9414e+05 4.6417e+05 2.0671e+05 4.5043e+05 2.6703e+05 3.7120e+05 2.8826e+05 3.3953e+05
  -3.7419 3.5879e+05 2.2020e+05 5.2933e+05 2.3432e+05 5.1388e+05 3.0636e+05 4.2259e+05 3.2770e+05 3.8976e+05
  -3.4839 4.0275e+05 2.4533e+05 5.9320e+05 2.6088e+05 5.7606e+05 3.4522e+05 4.7270e+05 3.6610e+05 4.3941e+05
  -3.2258 4.4521e+05 2.6900e+05 6.5477e+05 2.8606e+05 6.3591e+05 3.8268e+05 5.2096e+05 4.0264e+05 4.8778e+05
  -2.9677 4.8558e+05 2.9105e+05 7.1336e+05 3.0949e+05 6.9287e+05 4.1853e+05 5.6666e+05 4.3720e+05 5.3395e+05
  -2.7097 5.2339e+05 3.1133e+05 7.6802e+05 3.3118e+05 7.4600e+05 4.5205e+05 6.0923e+05 4.6922e+05 5.7745e+05
  -2.4516 5.5819e+05 3.2953e+05 8.1870e+05 3.5067e+05 7.9506e+05 4.8302e+05 6.4867e+05 4.9845e+05 6.1793e+05
  -2.1936 5.8998e+05 3.4596e+05 8.6477e+05 3.6830e+05 8.3972e+05 5.1133e+05 6.8440e+05 5.2502e+05 6.5494e+05
  -1.9355 6.1840e+05 3.6026e+05 9.0608e+05 3.8373e+05 8.7974e+05 5.3662e+05 7.1630e+05 5.4856e+05 6.8823e+05
  -1.6774 6.4334e+05 3.7268e+05 9.4244e+05 3.9707e+05 9.1489e+05 5.5900e+05 7.4437e+05 5.6921e+05 7.1758e+05
  -1.4194 6.6480e+05 3.8315e+05 9.7365e+05 4.0844e+05 9.4505e+05 5.7814e+05 7.6850e+05 5.8673e+05 7.4286e+05
  -1.1613 6.8278e+05 3.9181e+05 9.9986e+05 4.1783e+05 9.7034e+05 5.9427e+05 7.8868e+05 6.0134e+05 7.6421e+05
  -0.9032 6.9716e+05 3.9862e+05 1.0207e+06 4.2526e+05 9.9052e+05 6.0703e+05 8.0469e+05 6.1306e+05 7.8126e+05
  -0.6452 7.0783e+05 4.0380e+05 1.0364e+06 4.3082e+05 1.0056e+06 6.1677e+05 8.1676e+05 6.2176e+05 7.9402e+05
  -0.3871 7.1502e+05 4.0719e+05 1.0469e+06 4.3454e+05 1.0157e+06 6.2315e+05 8.2476e+05 6.2756e+05 8.0260e+05
  -0.1290 7.1874e+05 4.0884e+05 1.0521e+06 4.3639e+05 1.0208e+06 6.2640e+05 8.2894e+05 6.3046e+05 8.0690e+05
   0.1290 7.1885e+05 4.0902e+05 1.0524e+06 4.3651e+05 1.0210e+06 6.2663e+05 8.2905e+05 6.3069e+05 8.0713e+05
   0.3871 7.1537e+05 4.0726e+05 1.0473e+06 4.3465e+05 1.0162e+06 6.2338e+05 8.2511e+05 6.2779e+05 8.0284e+05
   0.6452 7.0818e+05 4.0401e+05 1.0370e+06 4.3106e+05 1.0062e+06 6.1700e+05 8.1722e+05 6.2211e+05 7.9437e+05
   0.9032 6.9751e+05 3.9883e+05 1.0213e+06 4.2549e+05 9.9110e+05 6.0738e+05 8.0516e+05 6.1329e+05 7.8161e+05
   1.1613 6.8312e+05 3.9202e+05 1.0003e+06 4.1806e+05 9.7080e+05 5.9450e+05 7.8903e+05 6.0169e+05 7.6456e+05
   1.4194 6.6514e+05 3.8339e+05 9.7428e+05 4.0867e+05 9.4563e+05 5.7849e+05 7.6896e+05 5.8708e+05 7.4333e+05
   1.6774 6.4368e+05 3.7286e+05 9.4293e+05 3.9730e+05 9.1536e+05 5.5924e+05 7.4484e+05 5.6944e+05 7.1792e+05
   1.9355 6.1874e+05 3.6033e+05 9.0658e+05 3.8384e+05 8.8021e+05 5.3685e+05 7.1676e+05 5.4880e+05 6.8858e+05
   2.1936 5.9032e+05 3.4603e+05 8.6533e+05 3.6842e+05 8.4030e+05 5.1156e+05 6.8475e+05 5.2525e+05 6.5528e+05
   2.4516 5.5854e+05 3.2974e+05 8.1928e+05 3.5090e+05 7.9564e+05 4.8326e+05 6.4902e+05 4.9880e+05 6.1840e+05
   2.7097 5.2374e+05 3.1140e+05 7.6865e+05 3.3130e+05 7.4658e+05 4.5228e+05 6.0970e+05 4.6945e+05 5.7791e+05
   2.9677 4.8592e+05 2.9111e+05 7.1381e+05 3.0960e+05 6.9333e+05 4.1876e+05 5.6701e+05 4.3744e+05 5.3430e+05
   3.2258 4.4556e+05 2.6913e+05 6.5533e+05 2.8617e+05 6.3649e+05 3.8303e+05 5.2130e+05 4.0298e+05 4.8813e+05
   3.4839 4.0298e+05 2.4546e+05 5.9367e+05 2.6100e+05 5.7652e+05 3.4545e+05 4.7293e+05 3.6633e+05 4.3976e+05
   3.7419 3.5902e+05 2.2022e+05 5.2966e+05 2.3432e+05 5.1423e+05 3.0659e+05 4.2282e+05 3.2793e+05 3.8999e+05
   4.0000 3.1413e+05 1.9427e+05 4.6440e+05 2.0683e+05 4.5066e+05 2.6726e+05 3.7143e+05 2.8849e+05 3.3976e+05
