# FONLL heavy quark hadroproduction cross section, calculated on Thu Jun 27 01:27:55 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2500 7.8242e+03 3.4878e+03 1.1976e+04 3.8918e+03 1.1412e+04 6.4751e+03 9.5108e+03 6.5911e+03 9.0561e+03
   0.5000 2.9708e+04 1.3371e+04 4.5342e+04 1.4894e+04 4.3222e+04 2.4627e+04 3.6053e+04 2.5056e+04 3.4348e+04
   0.7500 6.1422e+04 2.8060e+04 9.3361e+04 3.1169e+04 8.9053e+04 5.1063e+04 7.4321e+04 5.1910e+04 7.0922e+04
   1.0000 9.7498e+04 4.5425e+04 1.4748e+05 5.0274e+04 1.4082e+05 8.1362e+04 1.1751e+05 8.2627e+04 1.1237e+05
   1.2500 1.3282e+05 6.3230e+04 1.9973e+05 6.9716e+04 1.9094e+05 1.1128e+05 1.5938e+05 1.1290e+05 1.5266e+05
   1.5000 1.6333e+05 7.9756e+04 2.4435e+05 8.7499e+04 2.3397e+05 1.3758e+05 1.9500e+05 1.3943e+05 1.8722e+05
   1.7500 1.8699e+05 9.3679e+04 2.7830e+05 1.0229e+05 2.6703e+05 1.5834e+05 2.2191e+05 1.6031e+05 2.1367e+05
   2.0000 2.0277e+05 1.0424e+05 3.0050e+05 1.1331e+05 2.8896e+05 1.7261e+05 2.3931e+05 1.7458e+05 2.3084e+05
   2.2500 2.1112e+05 1.1146e+05 3.1172e+05 1.2052e+05 3.0044e+05 1.8084e+05 2.4766e+05 1.8270e+05 2.3954e+05
   2.5000 2.1298e+05 1.1534e+05 3.1362e+05 1.2412e+05 3.0299e+05 1.8351e+05 2.4836e+05 1.8525e+05 2.4082e+05
   2.7500 2.0973e+05 1.1636e+05 3.0796e+05 1.2470e+05 2.9824e+05 1.8166e+05 2.4314e+05 1.8328e+05 2.3618e+05
   3.0000 2.0254e+05 1.1511e+05 2.9675e+05 1.2284e+05 2.8803e+05 1.7644e+05 2.3339e+05 1.7783e+05 2.2736e+05
   3.2500 1.9268e+05 1.1197e+05 2.8155e+05 1.1902e+05 2.7388e+05 1.6878e+05 2.2075e+05 1.6994e+05 2.1541e+05
   3.5000 1.8108e+05 1.0740e+05 2.6395e+05 1.1380e+05 2.5729e+05 1.5938e+05 2.0625e+05 1.6031e+05 2.0172e+05
   3.7500 1.6843e+05 1.0202e+05 2.4521e+05 1.0772e+05 2.3942e+05 1.4906e+05 1.9094e+05 1.4976e+05 1.8711e+05
   4.0000 1.5567e+05 9.6046e+04 2.2594e+05 1.0111e+05 2.2098e+05 1.3839e+05 1.7551e+05 1.3897e+05 1.7238e+05
   4.2500 1.4303e+05 8.9790e+04 2.0703e+05 9.4285e+04 2.0277e+05 1.2772e+05 1.6054e+05 1.2806e+05 1.5788e+05
   4.5000 1.3073e+05 8.3540e+04 1.8892e+05 8.7476e+04 1.8525e+05 1.1728e+05 1.4616e+05 1.1751e+05 1.4396e+05
   4.7500 1.1913e+05 7.7375e+04 1.7170e+05 8.0817e+04 1.6855e+05 1.0734e+05 1.3259e+05 1.0745e+05 1.3096e+05
   5.0000 1.0839e+05 7.1386e+04 1.5569e+05 7.4437e+04 1.5300e+05 9.7974e+04 1.2018e+05 9.7997e+04 1.1878e+05
   5.2500 9.8403e+04 6.5718e+04 1.4091e+05 6.8394e+04 1.3862e+05 8.9274e+04 1.0866e+05 8.9216e+04 1.0759e+05
   5.5000 8.9250e+04 6.0368e+04 1.2737e+05 6.2721e+04 1.2540e+05 8.1235e+04 9.8206e+04 8.1119e+04 9.7382e+04
   5.7500 8.0898e+04 5.5399e+04 1.1512e+05 5.7466e+04 1.1342e+05 7.3869e+04 8.8728e+04 7.3706e+04 8.8090e+04
   6.0000 7.3312e+04 5.0776e+04 1.0399e+05 5.2594e+04 1.0252e+05 6.7141e+04 8.0168e+04 6.6944e+04 7.9692e+04
   6.2500 6.6456e+04 4.6524e+04 9.3937e+04 4.8128e+04 9.2672e+04 6.1028e+04 7.2454e+04 6.0807e+04 7.2106e+04
   6.5000 6.0262e+04 4.2604e+04 8.4882e+04 4.4022e+04 8.3787e+04 5.5483e+04 6.5517e+04 5.5239e+04 6.5273e+04
   6.7500 5.4671e+04 3.9021e+04 7.6752e+04 4.0275e+04 7.5794e+04 5.0460e+04 5.9299e+04 5.0205e+04 5.9137e+04
   7.0000 4.9636e+04 3.5743e+04 6.9449e+04 3.6853e+04 6.8614e+04 4.5924e+04 5.3708e+04 4.5658e+04 5.3615e+04
   7.2500 4.5112e+04 3.2756e+04 6.2895e+04 3.3744e+04 6.2164e+04 4.1818e+04 4.8697e+04 4.1563e+04 4.8662e+04
   7.5000 4.1029e+04 3.0037e+04 5.7010e+04 3.0914e+04 5.6364e+04 3.8118e+04 4.4208e+04 3.7862e+04 4.4208e+04
   7.7500 3.7364e+04 2.7555e+04 5.1734e+04 2.8339e+04 5.1168e+04 3.4777e+04 4.0171e+04 3.4522e+04 4.0206e+04
   8.0000 3.4058e+04 2.5295e+04 4.6995e+04 2.5996e+04 4.6493e+04 3.1761e+04 3.6552e+04 3.1506e+04 3.6610e+04
   8.2500 3.1076e+04 2.3234e+04 4.2739e+04 2.3861e+04 4.2294e+04 2.9023e+04 3.3292e+04 2.8791e+04 3.3373e+04
   8.5000 2.8397e+04 2.1328e+04 3.8914e+04 2.1889e+04 3.8524e+04 2.6564e+04 3.0357e+04 2.6332e+04 3.0450e+04
   8.7500 2.5961e+04 1.9573e+04 3.5478e+04 2.0068e+04 3.5125e+04 2.4337e+04 2.7724e+04 2.4105e+04 2.7828e+04
   9.0000 2.3780e+04 1.7976e+04 3.2375e+04 1.8421e+04 3.2062e+04 2.2318e+04 2.5346e+04 2.2098e+04 2.5462e+04
   9.2500 2.1796e+04 1.6527e+04 2.9581e+04 1.6924e+04 2.9302e+04 2.0486e+04 2.3200e+04 2.0277e+04 2.3316e+04
   9.5000 1.9998e+04 1.5215e+04 2.7060e+04 1.5567e+04 2.6808e+04 1.8827e+04 2.1263e+04 1.8630e+04 2.1379e+04
   9.7500 1.8374e+04 1.4010e+04 2.4784e+04 1.4326e+04 2.4557e+04 1.7319e+04 1.9511e+04 1.7133e+04 1.9627e+04
  10.0000 1.6913e+04 1.2920e+04 2.2718e+04 1.3212e+04 2.2516e+04 1.5950e+04 1.7922e+04 1.5764e+04 1.8050e+04
  10.2500 1.5567e+04 1.1934e+04 2.0868e+04 1.2192e+04 2.0683e+04 1.4709e+04 1.6484e+04 1.4535e+04 1.6611e+04
  10.5000 1.4349e+04 1.1029e+04 1.9179e+04 1.1261e+04 1.9012e+04 1.3572e+04 1.5173e+04 1.3410e+04 1.5300e+04
  10.7500 1.3247e+04 1.0201e+04 1.7642e+04 1.0414e+04 1.7493e+04 1.2540e+04 1.3990e+04 1.2377e+04 1.4106e+04
  11.0000 1.2238e+04 9.4487e+03 1.6249e+04 9.6408e+03 1.6112e+04 1.1600e+04 1.2911e+04 1.1446e+04 1.3027e+04
  11.2500 1.1317e+04 8.7586e+03 1.4984e+04 8.9332e+03 1.4860e+04 1.0738e+04 1.1925e+04 1.0591e+04 1.2041e+04
  11.5000 1.0477e+04 8.1282e+03 1.3836e+04 8.2870e+03 1.3723e+04 9.9516e+03 1.1029e+04 9.8101e+03 1.1143e+04
  11.7500 9.7080e+03 7.5502e+03 1.2782e+04 7.6943e+03 1.2679e+04 9.2313e+03 1.0209e+04 9.0967e+03 1.0320e+04
  12.0000 9.0051e+03 7.0186e+03 1.1822e+04 7.1502e+03 1.1728e+04 8.5701e+03 9.4610e+03 8.4425e+03 9.5688e+03
  12.2500 8.3613e+03 6.5310e+03 1.0949e+04 6.6514e+03 1.0862e+04 7.9646e+03 8.7766e+03 7.8428e+03 8.8810e+03
  12.5000 7.7708e+03 6.0828e+03 1.0148e+04 6.1932e+03 1.0069e+04 7.4089e+03 8.1490e+03 7.2918e+03 8.2488e+03
  12.7500 7.2280e+03 5.6700e+03 9.4145e+03 5.7710e+03 9.3415e+03 6.8974e+03 7.5725e+03 6.7860e+03 7.6699e+03
  13.0000 6.7292e+03 5.2910e+03 8.7431e+03 5.3836e+03 8.6756e+03 6.4276e+03 7.0447e+03 6.3208e+03 7.1386e+03
  13.2500 6.2710e+03 4.9395e+03 8.1273e+03 5.0251e+03 8.0655e+03 5.9937e+03 6.5586e+03 5.8916e+03 6.6491e+03
  13.5000 5.8487e+03 4.6157e+03 7.5611e+03 4.6945e+03 7.5040e+03 5.5947e+03 6.1120e+03 5.4972e+03 6.1990e+03
  13.7500 5.4590e+03 4.3168e+03 7.0407e+03 4.3894e+03 6.9878e+03 5.2258e+03 5.7002e+03 5.1330e+03 5.7849e+03
  14.0000 5.0994e+03 4.0406e+03 6.5612e+03 4.1076e+03 6.5122e+03 4.8859e+03 5.3209e+03 4.7966e+03 5.4021e+03
  14.2500 4.7676e+03 3.7850e+03 6.1205e+03 3.8466e+03 6.0749e+03 4.5716e+03 4.9718e+03 4.4869e+03 5.0495e+03
