# Job started on: Fri Jul  5 03:40:33 CEST 2019 ..................
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jul  5 03:43:28 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 10
# etamin = -4
# etamax = 4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  -4.0000 1.0536e+05 6.2140e+04 1.5581e+05 6.6373e+04 1.5098e+05 8.9859e+04 1.2424e+05 9.4986e+04 1.1574e+05
  -3.7419 1.1528e+05 6.7732e+04 1.7016e+05 7.2298e+04 1.6495e+05 9.8670e+04 1.3545e+05 1.0355e+05 1.2701e+05
  -3.4839 1.2452e+05 7.2869e+04 1.8350e+05 7.7763e+04 1.7794e+05 1.0690e+05 1.4582e+05 1.1144e+05 1.3760e+05
  -3.2258 1.3281e+05 7.7478e+04 1.9545e+05 8.2644e+04 1.8957e+05 1.1436e+05 1.5510e+05 1.1850e+05 1.4714e+05
  -2.9677 1.3996e+05 8.1354e+04 2.0569e+05 8.6789e+04 1.9955e+05 1.2077e+05 1.6302e+05 1.2449e+05 1.5540e+05
  -2.7097 1.4567e+05 8.4487e+04 2.1382e+05 9.0104e+04 2.0747e+05 1.2602e+05 1.6925e+05 1.2925e+05 1.6206e+05
  -2.4516 1.4966e+05 8.6703e+04 2.1946e+05 9.2438e+04 2.1300e+05 1.2977e+05 1.7349e+05 1.3253e+05 1.6676e+05
  -2.1936 1.5172e+05 8.7889e+04 2.2220e+05 9.3666e+04 2.1573e+05 1.3183e+05 1.7545e+05 1.3416e+05 1.6925e+05
  -1.9355 1.5157e+05 8.7926e+04 2.2175e+05 9.3635e+04 2.1536e+05 1.3201e+05 1.7490e+05 1.3391e+05 1.6922e+05
  -1.6774 1.4911e+05 8.6714e+04 2.1792e+05 9.2284e+04 2.1174e+05 1.3014e+05 1.7167e+05 1.3167e+05 1.6655e+05
  -1.4194 1.4444e+05 8.4336e+04 2.1084e+05 8.9675e+04 2.0495e+05 1.2633e+05 1.6593e+05 1.2756e+05 1.6133e+05
  -1.1613 1.3800e+05 8.0956e+04 2.0119e+05 8.5991e+04 1.9568e+05 1.2096e+05 1.5817e+05 1.2191e+05 1.5408e+05
  -0.9032 1.3057e+05 7.6952e+04 1.9014e+05 8.1662e+04 1.8503e+05 1.1466e+05 1.4936e+05 1.1540e+05 1.4573e+05
  -0.6452 1.2326e+05 7.2997e+04 1.7937e+05 7.7395e+04 1.7462e+05 1.0843e+05 1.4076e+05 1.0902e+05 1.3754e+05
  -0.3871 1.1743e+05 6.9765e+04 1.7074e+05 7.3926e+04 1.6627e+05 1.0343e+05 1.3394e+05 1.0389e+05 1.3097e+05
  -0.1290 1.1417e+05 6.7956e+04 1.6594e+05 7.1992e+04 1.6164e+05 1.0060e+05 1.3014e+05 1.0103e+05 1.2731e+05
   0.1290 1.1417e+05 6.7956e+04 1.6594e+05 7.1992e+04 1.6164e+05 1.0060e+05 1.3014e+05 1.0103e+05 1.2731e+05
   0.3871 1.1743e+05 6.9765e+04 1.7076e+05 7.3926e+04 1.6630e+05 1.0343e+05 1.3394e+05 1.0389e+05 1.3097e+05
   0.6452 1.2329e+05 7.2982e+04 1.7936e+05 7.7395e+04 1.7462e+05 1.0843e+05 1.4079e+05 1.0902e+05 1.3754e+05
   0.9032 1.3057e+05 7.6952e+04 1.9014e+05 8.1662e+04 1.8503e+05 1.1466e+05 1.4936e+05 1.1540e+05 1.4573e+05
   1.1613 1.3803e+05 8.0950e+04 2.0122e+05 8.5991e+04 1.9571e+05 1.2099e+05 1.5820e+05 1.2191e+05 1.5411e+05
   1.4194 1.4447e+05 8.4331e+04 2.1087e+05 8.9675e+04 2.0498e+05 1.2636e+05 1.6596e+05 1.2756e+05 1.6136e+05
   1.6774 1.4914e+05 8.6745e+04 2.1793e+05 9.2315e+04 2.1174e+05 1.3017e+05 1.7170e+05 1.3170e+05 1.6658e+05
   1.9355 1.5160e+05 8.7919e+04 2.2178e+05 9.3635e+04 2.1539e+05 1.3201e+05 1.7493e+05 1.3394e+05 1.6925e+05
   2.1936 1.5175e+05 8.7891e+04 2.2228e+05 9.3666e+04 2.1579e+05 1.3186e+05 1.7551e+05 1.3419e+05 1.6931e+05
   2.4516 1.4969e+05 8.6714e+04 2.1953e+05 9.2438e+04 2.1306e+05 1.2980e+05 1.7355e+05 1.3259e+05 1.6682e+05
   2.7097 1.4570e+05 8.4480e+04 2.1388e+05 9.0104e+04 2.0753e+05 1.2602e+05 1.6928e+05 1.2928e+05 1.6210e+05
   2.9677 1.3996e+05 8.1372e+04 2.0573e+05 8.6789e+04 1.9958e+05 1.2080e+05 1.6302e+05 1.2452e+05 1.5543e+05
   3.2258 1.3284e+05 7.7462e+04 1.9548e+05 8.2644e+04 1.8960e+05 1.1436e+05 1.5513e+05 1.1850e+05 1.4718e+05
   3.4839 1.2455e+05 7.2872e+04 1.8353e+05 7.7763e+04 1.7797e+05 1.0693e+05 1.4586e+05 1.1147e+05 1.3763e+05
   3.7419 1.1531e+05 6.7752e+04 1.7022e+05 7.2329e+04 1.6501e+05 9.8670e+04 1.3548e+05 1.0358e+05 1.2704e+05
   4.0000 1.0536e+05 6.2140e+04 1.5585e+05 6.6373e+04 1.5101e+05 8.9859e+04 1.2424e+05 9.4986e+04 1.1577e+05
