# Job started on: Fri Jul  5 04:09:15 CEST 2019 ...............
# FONLL heavy quark hadroproduction cross section, calculated on Fri Jul  5 04:11:42 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 10
# ymin  = -4
# ymax  = 4
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dy (pb)
# y       central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  -4.0000 8.2337e+04 5.0771e+04 1.2187e+05 5.4093e+04 1.1823e+05 6.9965e+04 9.7472e+04 7.5583e+04 8.9091e+04
  -3.7419 9.4034e+04 5.7502e+04 1.3885e+05 6.1216e+04 1.3477e+05 8.0219e+04 1.1086e+05 8.5868e+04 1.0217e+05
  -3.4839 1.0545e+05 6.3989e+04 1.5549e+05 6.8093e+04 1.5095e+05 9.0289e+04 1.2390e+05 9.5784e+04 1.1512e+05
  -3.2258 1.1648e+05 7.0071e+04 1.7150e+05 7.4570e+04 1.6652e+05 9.9990e+04 1.3643e+05 1.0527e+05 1.2768e+05
  -2.9677 1.2691e+05 7.5717e+04 1.8668e+05 8.0588e+04 1.8125e+05 1.0923e+05 1.4828e+05 1.1417e+05 1.3965e+05
  -2.7097 1.3668e+05 8.0887e+04 2.0088e+05 8.6114e+04 1.9504e+05 1.1789e+05 1.5933e+05 1.2243e+05 1.5092e+05
  -2.4516 1.4567e+05 8.5562e+04 2.1397e+05 9.1118e+04 2.0772e+05 1.2590e+05 1.6950e+05 1.2998e+05 1.6139e+05
  -2.1936 1.5387e+05 8.9685e+04 2.2584e+05 9.5569e+04 2.1923e+05 1.3315e+05 1.7870e+05 1.3680e+05 1.7094e+05
  -1.9355 1.6118e+05 9.3331e+04 2.3651e+05 9.9499e+04 2.2954e+05 1.3968e+05 1.8696e+05 1.4282e+05 1.7950e+05
  -1.6774 1.6759e+05 9.6480e+04 2.4589e+05 1.0291e+05 2.3860e+05 1.4540e+05 1.9421e+05 1.4810e+05 1.8709e+05
  -1.4194 1.7312e+05 9.9152e+04 2.5393e+05 1.0579e+05 2.4637e+05 1.5034e+05 2.0041e+05 1.5264e+05 1.9362e+05
  -1.1613 1.7772e+05 1.0132e+05 2.6065e+05 1.0816e+05 2.5284e+05 1.5445e+05 2.0560e+05 1.5636e+05 1.9909e+05
  -0.9032 1.8141e+05 1.0307e+05 2.6605e+05 1.1006e+05 2.5806e+05 1.5774e+05 2.0971e+05 1.5936e+05 2.0348e+05
  -0.6452 1.8417e+05 1.0434e+05 2.7010e+05 1.1144e+05 2.6196e+05 1.6022e+05 2.1281e+05 1.6157e+05 2.0680e+05
  -0.3871 1.8601e+05 1.0521e+05 2.7277e+05 1.1239e+05 2.6454e+05 1.6185e+05 2.1487e+05 1.6308e+05 2.0898e+05
  -0.1290 1.8693e+05 1.0562e+05 2.7411e+05 1.1285e+05 2.6583e+05 1.6268e+05 2.1591e+05 1.6378e+05 2.1008e+05
   0.1290 1.8693e+05 1.0564e+05 2.7414e+05 1.1285e+05 2.6586e+05 1.6271e+05 2.1591e+05 1.6382e+05 2.1008e+05
   0.3871 1.8604e+05 1.0520e+05 2.7280e+05 1.1239e+05 2.6457e+05 1.6188e+05 2.1490e+05 1.6308e+05 2.0901e+05
   0.6452 1.8423e+05 1.0435e+05 2.7014e+05 1.1147e+05 2.6202e+05 1.6025e+05 2.1284e+05 1.6160e+05 2.0683e+05
   0.9032 1.8144e+05 1.0308e+05 2.6611e+05 1.1006e+05 2.5813e+05 1.5780e+05 2.0974e+05 1.5939e+05 2.0351e+05
   1.1613 1.7775e+05 1.0135e+05 2.6070e+05 1.0819e+05 2.5291e+05 1.5448e+05 2.0560e+05 1.5639e+05 1.9912e+05
   1.4194 1.7315e+05 9.9146e+04 2.5396e+05 1.0579e+05 2.4640e+05 1.5037e+05 2.0044e+05 1.5264e+05 1.9366e+05
   1.6774 1.6762e+05 9.6482e+04 2.4591e+05 1.0291e+05 2.3863e+05 1.4543e+05 1.9421e+05 1.4813e+05 1.8712e+05
   1.9355 1.6121e+05 9.3362e+04 2.3654e+05 9.9529e+04 2.2958e+05 1.3972e+05 1.8699e+05 1.4285e+05 1.7953e+05
   2.1936 1.5390e+05 8.9707e+04 2.2587e+05 9.5600e+04 2.1926e+05 1.3318e+05 1.7874e+05 1.3680e+05 1.7097e+05
   2.4516 1.4570e+05 8.5555e+04 2.1400e+05 9.1118e+04 2.0775e+05 1.2590e+05 1.6952e+05 1.3001e+05 1.6142e+05
   2.7097 1.3671e+05 8.0889e+04 2.0091e+05 8.6114e+04 1.9507e+05 1.1792e+05 1.5936e+05 1.2246e+05 1.5095e+05
   2.9677 1.2694e+05 7.5720e+04 1.8671e+05 8.0588e+04 1.8128e+05 1.0926e+05 1.4831e+05 1.1420e+05 1.3968e+05
   3.2258 1.1648e+05 7.0082e+04 1.7155e+05 7.4570e+04 1.6655e+05 1.0002e+05 1.3646e+05 1.0527e+05 1.2771e+05
   3.4839 1.0548e+05 6.3980e+04 1.5553e+05 6.8093e+04 1.5098e+05 9.0289e+04 1.2394e+05 9.5815e+04 1.1516e+05
   3.7419 9.4034e+04 5.7502e+04 1.3889e+05 6.1216e+04 1.3480e+05 8.0219e+04 1.1086e+05 8.5868e+04 1.0220e+05
   4.0000 8.2337e+04 5.0790e+04 1.2187e+05 5.4093e+04 1.1823e+05 6.9996e+04 9.7472e+04 7.5614e+04 8.9091e+04
