# FONLL heavy quark hadroproduction cross section, calculated on Thu Jun 27 06:19:58 CEST 2019
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2500 1.3680e+03 5.9157e+02 2.1180e+03 6.6343e+02 2.0173e+03 1.1264e+03 1.6725e+03 1.1488e+03 1.5875e+03
   0.5000 5.2528e+03 2.2930e+03 8.0986e+03 2.5678e+03 7.7149e+03 4.3318e+03 6.4102e+03 4.4147e+03 6.0878e+03
   0.7500 1.1049e+04 4.8977e+03 1.6936e+04 5.4707e+03 1.6136e+04 9.1332e+03 1.3444e+04 9.3021e+03 1.2796e+04
   1.0000 1.7935e+04 8.1085e+03 2.7312e+04 9.0258e+03 2.6030e+04 1.4880e+04 2.1748e+04 1.5132e+04 2.0738e+04
   1.2500 2.5103e+04 1.1607e+04 3.7950e+04 1.2869e+04 3.6195e+04 2.0916e+04 3.0307e+04 2.1238e+04 2.8965e+04
   1.5000 3.1867e+04 1.5086e+04 4.7822e+04 1.6661e+04 4.5682e+04 2.6663e+04 3.8252e+04 2.7041e+04 3.6656e+04
   1.7500 3.7669e+04 1.8305e+04 5.6229e+04 2.0112e+04 5.3786e+04 3.1682e+04 4.5006e+04 3.2112e+04 4.3226e+04
   2.0000 4.2274e+04 2.1084e+04 6.2792e+04 2.3046e+04 6.0172e+04 3.5766e+04 5.0256e+04 3.6195e+04 4.8352e+04
   2.2500 4.5590e+04 2.3303e+04 6.7445e+04 2.5364e+04 6.4777e+04 3.8743e+04 5.3878e+04 3.9204e+04 5.1975e+04
   2.5000 4.7616e+04 2.4952e+04 7.0239e+04 2.7025e+04 6.7632e+04 4.0708e+04 5.5935e+04 4.1138e+04 5.4093e+04
   2.7500 4.8475e+04 2.6011e+04 7.1306e+04 2.8054e+04 6.8829e+04 4.1660e+04 5.6611e+04 4.2059e+04 5.4861e+04
   3.0000 4.8322e+04 2.6549e+04 7.0975e+04 2.8502e+04 6.8676e+04 4.1752e+04 5.6120e+04 4.2151e+04 5.4492e+04
   3.2500 4.7370e+04 2.6605e+04 6.9453e+04 2.8450e+04 6.7356e+04 4.1138e+04 5.4707e+04 4.1506e+04 5.3234e+04
   3.5000 4.5774e+04 2.6273e+04 6.7032e+04 2.7986e+04 6.5145e+04 3.9971e+04 5.2589e+04 4.0278e+04 5.1269e+04
   3.7500 4.3748e+04 2.5631e+04 6.3934e+04 2.7203e+04 6.2260e+04 3.8406e+04 4.9980e+04 3.8651e+04 4.8844e+04
   4.0000 4.1414e+04 2.4748e+04 6.0423e+04 2.6178e+04 5.8944e+04 3.6533e+04 4.7094e+04 3.6748e+04 4.6081e+04
   4.2500 3.8928e+04 2.3681e+04 5.6667e+04 2.4984e+04 5.5383e+04 3.4476e+04 4.4024e+04 3.4660e+04 4.3164e+04
   4.5000 3.6349e+04 2.2516e+04 5.2826e+04 2.3682e+04 5.1699e+04 3.2358e+04 4.0923e+04 3.2481e+04 4.0217e+04
   4.7500 3.3770e+04 2.1282e+04 4.8967e+04 2.2325e+04 4.7984e+04 3.0193e+04 3.7853e+04 3.0282e+04 3.7270e+04
   5.0000 3.1283e+04 2.0005e+04 4.5239e+04 2.0947e+04 4.4392e+04 2.8066e+04 3.4906e+04 2.8121e+04 3.4415e+04
   5.2500 2.8867e+04 1.8748e+04 4.1672e+04 1.9584e+04 4.0923e+04 2.6006e+04 3.2112e+04 2.6034e+04 3.1713e+04
   5.5000 2.6583e+04 1.7507e+04 3.8256e+04 1.8251e+04 3.7608e+04 2.4035e+04 2.9454e+04 2.4041e+04 2.9128e+04
   5.7500 2.4440e+04 1.6308e+04 3.5072e+04 1.6971e+04 3.4507e+04 2.2172e+04 2.6985e+04 2.2159e+04 2.6724e+04
   6.0000 2.2442e+04 1.5158e+04 3.2114e+04 1.5749e+04 3.1621e+04 2.0422e+04 2.4698e+04 2.0397e+04 2.4492e+04
   6.2500 2.0594e+04 1.4066e+04 2.9377e+04 1.4595e+04 2.8947e+04 1.8794e+04 2.2592e+04 1.8755e+04 2.2429e+04
   6.5000 1.8887e+04 1.3040e+04 2.6858e+04 1.3511e+04 2.6482e+04 1.7284e+04 2.0658e+04 1.7238e+04 2.0535e+04
   6.7500 1.7318e+04 1.2077e+04 2.4550e+04 1.2498e+04 2.4219e+04 1.5890e+04 1.8893e+04 1.5835e+04 1.8798e+04
   7.0000 1.5878e+04 1.1180e+04 2.2438e+04 1.1556e+04 2.2147e+04 1.4607e+04 1.7278e+04 1.4546e+04 1.7210e+04
   7.2500 1.4561e+04 1.0344e+04 2.0517e+04 1.0680e+04 2.0259e+04 1.3425e+04 1.5810e+04 1.3364e+04 1.5761e+04
   7.5000 1.3361e+04 9.5708e+03 1.8761e+04 9.8731e+03 1.8534e+04 1.2344e+04 1.4472e+04 1.2280e+04 1.4441e+04
   7.7500 1.2265e+04 8.8563e+03 1.7166e+04 9.1271e+03 1.6965e+04 1.1356e+04 1.3256e+04 1.1292e+04 1.3241e+04
   8.0000 1.1267e+04 8.1948e+03 1.5715e+04 8.4394e+03 1.5537e+04 1.0450e+04 1.2151e+04 1.0386e+04 1.2145e+04
   8.2500 1.0355e+04 7.5839e+03 1.4398e+04 7.8039e+03 1.4239e+04 9.6245e+03 1.1147e+04 9.5569e+03 1.1150e+04
   8.5000 9.5231e+03 7.0252e+03 1.3199e+04 7.2237e+03 1.3057e+04 8.8662e+03 1.0235e+04 8.8017e+03 1.0245e+04
   8.7500 8.7649e+03 6.5077e+03 1.2110e+04 6.6865e+03 1.1982e+04 8.1754e+03 9.4034e+03 8.1109e+03 9.4188e+03
   9.0000 8.0741e+03 6.0337e+03 1.1120e+04 6.1953e+03 1.1006e+04 7.5430e+03 8.6482e+03 7.4816e+03 8.6697e+03
   9.2500 7.4448e+03 5.5886e+03 1.0222e+04 5.7348e+03 1.0119e+04 6.9658e+03 7.9636e+03 6.9044e+03 7.9851e+03
   9.5000 6.8707e+03 5.1708e+03 9.4036e+03 5.3019e+03 9.3113e+03 6.4378e+03 7.3373e+03 6.3795e+03 7.3619e+03
   9.7500 6.3457e+03 4.7873e+03 8.6577e+03 4.9059e+03 8.5745e+03 5.9527e+03 6.7663e+03 5.8975e+03 6.7939e+03
  10.0000 5.8668e+03 4.4389e+03 7.9773e+03 4.5467e+03 7.9022e+03 5.5106e+03 6.2474e+03 5.4554e+03 6.2751e+03
  10.2500 5.4278e+03 4.1183e+03 7.3594e+03 4.2151e+03 7.2912e+03 5.1054e+03 5.7716e+03 5.0532e+03 5.8023e+03
  10.5000 5.0256e+03 3.8234e+03 6.7947e+03 3.9112e+03 6.7325e+03 4.7339e+03 5.3387e+03 4.6818e+03 5.3694e+03
  10.7500 4.6572e+03 3.5530e+03 6.2798e+03 3.6318e+03 6.2229e+03 4.3932e+03 4.9427e+03 4.3441e+03 4.9734e+03
  11.0000 4.3226e+03 3.3046e+03 5.8070e+03 3.3770e+03 5.7562e+03 4.0800e+03 4.5774e+03 4.0340e+03 4.6111e+03
  11.2500 4.0125e+03 3.0742e+03 5.3764e+03 3.1406e+03 5.3295e+03 3.7914e+03 4.2458e+03 3.7454e+03 4.2796e+03
  11.5000 3.7301e+03 2.8638e+03 4.9818e+03 2.9245e+03 4.9396e+03 3.5274e+03 3.9419e+03 3.4844e+03 3.9726e+03
  11.7500 3.4691e+03 2.6698e+03 4.6192e+03 2.7252e+03 4.5804e+03 3.2849e+03 3.6625e+03 3.2419e+03 3.6932e+03
  12.0000 3.2296e+03 2.4908e+03 4.2900e+03 2.5417e+03 4.2550e+03 3.0602e+03 3.4046e+03 3.0203e+03 3.4353e+03
  12.2500 3.0074e+03 2.3262e+03 3.9837e+03 2.3722e+03 3.9511e+03 2.8536e+03 3.1682e+03 2.8152e+03 3.1989e+03
  12.5000 2.8041e+03 2.1737e+03 3.7050e+03 2.2159e+03 3.6748e+03 2.6632e+03 2.9521e+03 2.6264e+03 2.9819e+03
  12.7500 2.6166e+03 2.0325e+03 3.4478e+03 2.0713e+03 3.4200e+03 2.4873e+03 2.7519e+03 2.4517e+03 2.7811e+03
  13.0000 2.4434e+03 1.9021e+03 3.2122e+03 1.9378e+03 3.1867e+03 2.3249e+03 2.5674e+03 2.2908e+03 2.5960e+03
  13.2500 2.2835e+03 1.7815e+03 2.9941e+03 1.8144e+03 2.9705e+03 2.1745e+03 2.3974e+03 2.1419e+03 2.4250e+03
