# Job started on: Wed Mar 22 19:06:09 CET 2023 ..............
# FONLL heavy quark hadroproduction cross section, calculated on Wed Mar 22 19:08:25 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 10
# etamin = -4
# etamax = 4
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
  -4.0000 3.8002e+05 2.3285e+05 5.5781e+05 2.4337e+05 5.4497e+05 3.2538e+05 4.4637e+05
  -3.7419 4.1261e+05 2.5083e+05 6.0407e+05 2.6158e+05 5.9079e+05 3.5461e+05 4.8268e+05
  -3.4839 4.4266e+05 2.6719e+05 6.4679e+05 2.7805e+05 6.3313e+05 3.8187e+05 5.1608e+05
  -3.2258 4.7003e+05 2.8170e+05 6.8520e+05 2.9267e+05 6.7129e+05 4.0670e+05 5.4613e+05
  -2.9677 4.9370e+05 2.9431e+05 7.1858e+05 3.0531e+05 7.0447e+05 4.2839e+05 5.7211e+05
  -2.7097 5.1318e+05 3.0461e+05 7.4567e+05 3.1564e+05 7.3150e+05 4.4625e+05 5.9311e+05
  -2.4516 5.2745e+05 3.1235e+05 7.6523e+05 3.2329e+05 7.5110e+05 4.5971e+05 6.0819e+05
  -2.1936 5.3557e+05 3.1683e+05 7.7593e+05 3.2758e+05 7.6200e+05 4.6783e+05 6.1619e+05
  -1.9355 5.3662e+05 3.1768e+05 7.7637e+05 3.2816e+05 7.6282e+05 4.6968e+05 6.1608e+05
  -1.6774 5.3000e+05 3.1436e+05 7.6585e+05 3.2445e+05 7.5284e+05 4.6481e+05 6.0726e+05
  -1.4194 5.1597e+05 3.0688e+05 7.4473e+05 3.1645e+05 7.3242e+05 4.5344e+05 5.8998e+05
  -1.1613 4.9567e+05 2.9596e+05 7.1455e+05 3.0496e+05 7.0308e+05 4.3639e+05 5.6562e+05
  -0.9032 4.7166e+05 2.8277e+05 6.7924e+05 2.9116e+05 6.6862e+05 4.1598e+05 5.3720e+05
  -0.6452 4.4776e+05 2.6951e+05 6.4412e+05 2.7736e+05 6.3429e+05 3.9544e+05 5.0912e+05
  -0.3871 4.2827e+05 2.5871e+05 6.1583e+05 2.6610e+05 6.0656e+05 3.7874e+05 4.8650e+05
  -0.1290 4.1737e+05 2.5257e+05 5.9987e+05 2.5972e+05 5.9090e+05 3.6934e+05 4.7386e+05
   0.1290 4.1748e+05 2.5254e+05 5.9995e+05 2.5972e+05 5.9102e+05 3.6934e+05 4.7386e+05
   0.3871 4.2839e+05 2.5871e+05 6.1584e+05 2.6610e+05 6.0656e+05 3.7886e+05 4.8662e+05
   0.6452 4.4788e+05 2.6962e+05 6.4435e+05 2.7747e+05 6.3452e+05 3.9556e+05 5.0924e+05
   0.9032 4.7177e+05 2.8288e+05 6.7950e+05 2.9128e+05 6.6886e+05 4.1609e+05 5.3743e+05
   1.1613 4.9590e+05 2.9605e+05 7.1475e+05 3.0508e+05 7.0331e+05 4.3651e+05 5.6573e+05
   1.4194 5.1620e+05 3.0700e+05 7.4507e+05 3.1656e+05 7.3277e+05 4.5368e+05 5.9021e+05
   1.6774 5.3024e+05 3.1452e+05 7.6630e+05 3.2457e+05 7.5330e+05 4.6516e+05 6.0749e+05
   1.9355 5.3685e+05 3.1780e+05 7.7682e+05 3.2828e+05 7.6328e+05 4.6992e+05 6.1631e+05
   2.1936 5.3580e+05 3.1706e+05 7.7642e+05 3.2782e+05 7.6247e+05 4.6806e+05 6.1654e+05
   2.4516 5.2768e+05 3.1250e+05 7.6572e+05 3.2341e+05 7.5156e+05 4.6006e+05 6.0854e+05
   2.7097 5.1342e+05 3.0476e+05 7.4601e+05 3.1575e+05 7.3184e+05 4.4660e+05 5.9334e+05
   2.9677 4.9393e+05 2.9440e+05 7.1892e+05 3.0543e+05 7.0482e+05 4.2850e+05 5.7234e+05
   3.2258 4.7026e+05 2.8178e+05 6.8565e+05 2.9278e+05 6.7176e+05 4.0681e+05 5.4636e+05
   3.4839 4.4300e+05 2.6728e+05 6.4725e+05 2.7817e+05 6.3359e+05 3.8210e+05 5.1643e+05
   3.7419 4.1284e+05 2.5095e+05 6.0456e+05 2.6170e+05 5.9125e+05 3.5484e+05 4.8302e+05
   4.0000 3.8025e+05 2.3297e+05 5.5815e+05 2.4348e+05 5.4532e+05 3.2561e+05 4.4660e+05
