# Job started on: Wed Mar 22 19:15:07 CET 2023 ............
# FONLL heavy quark hadroproduction cross section, calculated on Wed Mar 22 19:17:07 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 10
# ymin  = -4
# ymax  = 4
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dy (pb)
# y       central      min       max       min_sc     max_sc     min_mass   max_mass
  -4.0000 3.1378e+05 2.0154e+05 4.6219e+05 2.1158e+05 4.5078e+05 2.6738e+05 3.7085e+05
  -3.7419 3.5276e+05 2.2394e+05 5.1797e+05 2.3444e+05 5.0588e+05 3.0183e+05 4.1482e+05
  -3.4839 3.8999e+05 2.4474e+05 5.7145e+05 2.5555e+05 5.5866e+05 3.3501e+05 4.5692e+05
  -3.2258 4.2549e+05 2.6395e+05 6.2208e+05 2.7504e+05 6.0877e+05 3.6668e+05 4.9660e+05
  -2.9677 4.5866e+05 2.8151e+05 6.6934e+05 2.9278e+05 6.5552e+05 3.9649e+05 5.3372e+05
  -2.7097 4.8952e+05 2.9724e+05 7.1314e+05 3.0868e+05 6.9890e+05 4.2421e+05 5.6805e+05
  -2.4516 5.1806e+05 3.1151e+05 7.5353e+05 3.2306e+05 7.3892e+05 4.4996e+05 5.9972e+05
  -2.1936 5.4416e+05 3.2450e+05 7.9054e+05 3.3617e+05 7.7558e+05 4.7351e+05 6.2872e+05
  -1.9355 5.6782e+05 3.3610e+05 8.2402e+05 3.4788e+05 8.0875e+05 4.9486e+05 6.5494e+05
  -1.6774 5.8882e+05 3.4652e+05 8.5392e+05 3.5844e+05 8.3833e+05 5.1376e+05 6.7837e+05
  -1.4194 6.0703e+05 3.5555e+05 8.7982e+05 3.6760e+05 8.6397e+05 5.3012e+05 6.9867e+05
  -1.1613 6.2234e+05 3.6297e+05 9.0151e+05 3.7514e+05 8.8543e+05 5.4381e+05 7.1572e+05
  -0.9032 6.3452e+05 3.6894e+05 9.1889e+05 3.8118e+05 9.0260e+05 5.5483e+05 7.2941e+05
  -0.6452 6.4380e+05 3.7340e+05 9.3198e+05 3.8570e+05 9.1559e+05 5.6318e+05 7.3962e+05
  -0.3871 6.4983e+05 3.7638e+05 9.4069e+05 3.8872e+05 9.2417e+05 5.6863e+05 7.4646e+05
  -0.1290 6.5296e+05 3.7786e+05 9.4514e+05 3.9022e+05 9.2858e+05 5.7142e+05 7.4994e+05
   0.1290 6.5308e+05 3.7786e+05 9.4537e+05 3.9022e+05 9.2881e+05 5.7153e+05 7.5006e+05
   0.3871 6.5006e+05 3.7650e+05 9.4114e+05 3.8883e+05 9.2464e+05 5.6886e+05 7.4669e+05
   0.6452 6.4403e+05 3.7352e+05 9.3247e+05 3.8582e+05 9.1605e+05 5.6341e+05 7.3996e+05
   0.9032 6.3487e+05 3.6906e+05 9.1942e+05 3.8129e+05 9.0318e+05 5.5518e+05 7.2964e+05
   1.1613 6.2257e+05 3.6313e+05 9.0185e+05 3.7526e+05 8.8578e+05 5.4416e+05 7.1595e+05
   1.4194 6.0726e+05 3.5571e+05 8.8016e+05 3.6772e+05 8.6432e+05 5.3047e+05 6.9890e+05
   1.6774 5.8905e+05 3.4675e+05 8.5426e+05 3.5867e+05 8.3868e+05 5.1400e+05 6.7860e+05
   1.9355 5.6805e+05 3.3633e+05 8.2451e+05 3.4812e+05 8.0922e+05 4.9509e+05 6.5528e+05
   2.1936 5.4439e+05 3.2462e+05 7.9103e+05 3.3628e+05 7.7604e+05 4.7374e+05 6.2907e+05
   2.4516 5.1829e+05 3.1160e+05 7.5402e+05 3.2318e+05 7.3938e+05 4.5008e+05 6.0007e+05
   2.7097 4.8987e+05 2.9734e+05 7.1364e+05 3.0879e+05 6.9936e+05 4.2444e+05 5.6852e+05
   2.9677 4.5901e+05 2.8156e+05 6.6979e+05 2.9290e+05 6.5598e+05 3.9660e+05 5.3406e+05
   3.2258 4.2572e+05 2.6407e+05 6.2257e+05 2.7515e+05 6.0923e+05 3.6691e+05 4.9694e+05
   3.4839 3.9034e+05 2.4483e+05 5.7186e+05 2.5566e+05 5.5912e+05 3.3524e+05 4.5716e+05
   3.7419 3.5299e+05 2.2407e+05 5.1831e+05 2.3455e+05 5.0622e+05 3.0206e+05 4.1505e+05
   4.0000 3.1401e+05 2.0162e+05 4.6253e+05 2.1170e+05 4.5112e+05 2.6750e+05 3.7108e+05
