# FONLL heavy quark hadroproduction cross section, calculated on Mon Feb 20 23:09:17 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = J/psi from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->J/psi) = 0.0116
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0.2500 6.7257e+03 3.0961e+03 1.0149e+04 3.2932e+03 9.8275e+03 5.5993e+03 8.1316e+03 6.3742e+03 7.0772e+03
0.5000 2.5578e+04 1.1875e+04 3.8489e+04 1.2621e+04 3.7282e+04 2.1321e+04 3.0868e+04 2.4256e+04 2.6889e+04
0.7500 5.3000e+04 2.4930e+04 7.9430e+04 2.6448e+04 7.6978e+04 4.4300e+04 6.3788e+04 5.0309e+04 5.5692e+04
1.0000 8.4425e+04 4.0401e+04 1.2594e+05 4.2769e+04 1.2215e+05 7.0806e+04 1.0124e+05 8.0249e+04 8.8589e+04
1.2500 1.1543e+05 5.6354e+04 1.7122e+05 5.9508e+04 1.6623e+05 9.7208e+04 1.3781e+05 1.0990e+05 1.2099e+05
1.5000 1.4268e+05 7.1214e+04 2.1065e+05 7.4982e+04 2.0474e+05 1.2076e+05 1.6959e+05 1.3607e+05 1.4929e+05
1.7500 1.6426e+05 8.3842e+04 2.4138e+05 8.8044e+04 2.3502e+05 1.3966e+05 1.9407e+05 1.5695e+05 1.7145e+05
2.0000 1.7910e+05 9.3614e+04 2.6233e+05 9.8008e+04 2.5578e+05 1.5312e+05 2.1054e+05 1.7156e+05 1.8676e+05
2.2500 1.8769e+05 1.0034e+05 2.7409e+05 1.0479e+05 2.6773e+05 1.6124e+05 2.1936e+05 1.8003e+05 1.9523e+05
2.5000 1.9059e+05 1.0424e+05 2.7769e+05 1.0856e+05 2.7167e+05 1.6460e+05 2.2156e+05 1.8328e+05 1.9790e+05
2.7500 1.8885e+05 1.0559e+05 2.7464e+05 1.0968e+05 2.6912e+05 1.6402e+05 2.1831e+05 1.8189e+05 1.9581e+05
3.0000 1.8351e+05 1.0481e+05 2.6653e+05 1.0861e+05 2.6158e+05 1.6020e+05 2.1100e+05 1.7713e+05 1.9001e+05
3.2500 1.7562e+05 1.0239e+05 2.5471e+05 1.0585e+05 2.5033e+05 1.5416e+05 2.0091e+05 1.6982e+05 1.8154e+05
3.5000 1.6611e+05 9.8691e+04 2.4044e+05 1.0182e+05 2.3664e+05 1.4651e+05 1.8896e+05 1.6078e+05 1.7145e+05
3.7500 1.5544e+05 9.4157e+04 2.2474e+05 9.6941e+04 2.2144e+05 1.3781e+05 1.7597e+05 1.5068e+05 1.6031e+05
4.0000 1.4442e+05 8.9066e+04 2.0838e+05 9.1536e+04 2.0555e+05 1.2864e+05 1.6275e+05 1.4013e+05 1.4871e+05
4.2500 1.3340e+05 8.3643e+04 1.9208e+05 8.5852e+04 1.8966e+05 1.1925e+05 1.4964e+05 1.2957e+05 1.3723e+05
4.5000 1.2261e+05 7.8158e+04 1.7617e+05 8.0086e+04 1.7412e+05 1.1011e+05 1.3688e+05 1.1925e+05 1.2609e+05
4.7500 1.1236e+05 7.2700e+04 1.6091e+05 7.4402e+04 1.5915e+05 1.0127e+05 1.2493e+05 1.0933e+05 1.1538e+05
5.0000 1.0266e+05 6.7410e+04 1.4673e+05 6.8904e+04 1.4523e+05 9.2870e+04 1.1372e+05 9.9969e+04 1.0535e+05
5.2500 9.3635e+04 6.2337e+04 1.3340e+05 6.3649e+04 1.3212e+05 8.4993e+04 1.0334e+05 9.1246e+04 9.6025e+04
5.5000 8.5295e+04 5.7525e+04 1.2115e+05 5.8673e+04 1.2006e+05 7.7685e+04 9.3821e+04 8.3172e+04 8.7429e+04
5.7500 7.7639e+04 5.3001e+04 1.0993e+05 5.4010e+04 1.0899e+05 7.0922e+04 8.5121e+04 7.5748e+04 7.9541e+04
6.0000 7.0644e+04 4.8787e+04 9.9706e+04 4.9671e+04 9.8902e+04 6.4728e+04 7.7221e+04 6.8950e+04 7.2338e+04
6.2500 6.4276e+04 4.4881e+04 9.0420e+04 4.5658e+04 8.9726e+04 5.9056e+04 7.0064e+04 6.2768e+04 6.5795e+04
6.5000 5.8499e+04 4.1260e+04 8.2010e+04 4.1946e+04 8.1409e+04 5.3882e+04 6.3603e+04 5.7142e+04 5.9856e+04
6.7500 5.3267e+04 3.7928e+04 7.4421e+04 3.8535e+04 7.3904e+04 4.9172e+04 5.7756e+04 5.2049e+04 5.4485e+04
7.0000 4.8523e+04 3.4881e+04 6.7570e+04 3.5415e+04 6.7118e+04 4.4904e+04 5.2502e+04 4.7432e+04 4.9625e+04
7.2500 4.4242e+04 3.2076e+04 6.1386e+04 3.2550e+04 6.0993e+04 4.1029e+04 4.7757e+04 4.3256e+04 4.5228e+04
7.5000 4.0368e+04 2.9506e+04 5.5827e+04 2.9928e+04 5.5483e+04 3.7503e+04 4.3488e+04 3.9486e+04 4.1261e+04
7.7500 3.6865e+04 2.7154e+04 5.0809e+04 2.7527e+04 5.0506e+04 3.4324e+04 3.9637e+04 3.6064e+04 3.7677e+04
8.0000 3.3710e+04 2.5001e+04 4.6281e+04 2.5334e+04 4.6017e+04 3.1436e+04 3.6169e+04 3.2979e+04 3.4429e+04
8.2500 3.0844e+04 2.3041e+04 4.2213e+04 2.3339e+04 4.1980e+04 2.8814e+04 3.3037e+04 3.0183e+04 3.1506e+04
8.5000 2.8258e+04 2.1239e+04 3.8530e+04 2.1506e+04 3.8326e+04 2.6436e+04 3.0206e+04 2.7654e+04 2.8849e+04
8.7500 2.5903e+04 1.9600e+04 3.5228e+04 1.9836e+04 3.5044e+04 2.4279e+04 2.7666e+04 2.5369e+04 2.6448e+04
9.0000 2.3780e+04 1.8103e+04 3.2226e+04 1.8316e+04 3.2062e+04 2.2318e+04 2.5358e+04 2.3293e+04 2.4279e+04
9.2500 2.1854e+04 1.6733e+04 2.9514e+04 1.6924e+04 2.9371e+04 2.0544e+04 2.3258e+04 2.1402e+04 2.2307e+04
9.5000 2.0103e+04 1.5476e+04 2.7064e+04 1.5648e+04 2.6935e+04 1.8920e+04 2.1367e+04 1.9697e+04 2.0520e+04
9.7500 1.8514e+04 1.4288e+04 2.4846e+04 1.4442e+04 2.4731e+04 1.7446e+04 1.9650e+04 1.8142e+04 1.8896e+04
10.0000 1.7075e+04 1.3199e+04 2.2826e+04 1.3340e+04 2.2724e+04 1.6101e+04 1.8096e+04 1.6727e+04 1.7412e+04
10.2500 1.5753e+04 1.2219e+04 2.1008e+04 1.2342e+04 2.0915e+04 1.4883e+04 1.6681e+04 1.5440e+04 1.6078e+04
10.5000 1.4558e+04 1.1311e+04 1.9350e+04 1.1422e+04 1.9268e+04 1.3769e+04 1.5393e+04 1.4256e+04 1.4848e+04
10.7500 1.3456e+04 1.0484e+04 1.7833e+04 1.0585e+04 1.7760e+04 1.2737e+04 1.4210e+04 1.3189e+04 1.3723e+04
11.0000 1.2458e+04 9.7287e+03 1.6457e+04 9.8194e+03 1.6391e+04 1.1809e+04 1.3143e+04 1.2203e+04 1.2702e+04
11.2500 1.1543e+04 9.0350e+03 1.5211e+04 9.1164e+03 1.5150e+04 1.0953e+04 1.2168e+04 1.1312e+04 1.1774e+04
11.5000 1.0706e+04 8.3992e+03 1.4068e+04 8.4726e+03 1.4013e+04 1.0169e+04 1.1271e+04 1.0493e+04 1.0919e+04
11.7500 9.9389e+03 7.8144e+03 1.3018e+04 7.8810e+03 1.2969e+04 9.4494e+03 1.0453e+04 9.7417e+03 1.0136e+04
12.0000 9.2359e+03 7.2777e+03 1.2062e+04 7.3382e+03 1.2018e+04 8.7893e+03 9.7034e+03 9.0526e+03 9.4180e+03
12.2500 8.5898e+03 6.7833e+03 1.1191e+04 6.8382e+03 1.1150e+04 8.1815e+03 9.0167e+03 8.4204e+03 8.7592e+03
12.5000 7.9970e+03 6.3277e+03 1.0390e+04 6.3777e+03 1.0353e+04 7.6235e+03 8.3856e+03 7.8393e+03 8.1536e+03
12.7500 7.4507e+03 5.9078e+03 9.6549e+03 5.9531e+03 9.6210e+03 7.1096e+03 7.8068e+03 7.3045e+03 7.5968e+03
13.0000 6.9484e+03 5.5196e+03 8.9801e+03 5.5610e+03 8.9494e+03 6.6352e+03 7.2732e+03 6.8115e+03 7.0841e+03
13.2500 6.4844e+03 5.1615e+03 8.3593e+03 5.1991e+03 8.3311e+03 6.1979e+03 6.7825e+03 6.3580e+03 6.6108e+03
13.5000 6.0575e+03 4.8306e+03 7.7896e+03 4.8650e+03 7.7639e+03 5.7942e+03 6.3301e+03 5.9392e+03 6.1758e+03
13.7500 5.6620e+03 4.5251e+03 7.2644e+03 4.5565e+03 7.2407e+03 5.4207e+03 5.9125e+03 5.5518e+03 5.7733e+03
14.0000 5.2977e+03 4.2410e+03 6.7797e+03 4.2700e+03 6.7582e+03 5.0750e+03 5.5274e+03 5.1945e+03 5.4010e+03
14.2500 4.9602e+03 3.9777e+03 6.3325e+03 4.0043e+03 6.3127e+03 4.7548e+03 5.1713e+03 4.8627e+03 5.0564e+03
14.5000 4.6470e+03 3.7343e+03 5.9203e+03 3.7584e+03 5.9021e+03 4.4590e+03 4.8418e+03 4.5565e+03 4.7374e+03
14.7500 4.3581e+03 3.5072e+03 5.5383e+03 3.5299e+03 5.5216e+03 4.1830e+03 4.5368e+03 4.2723e+03 4.4428e+03
15.0000 4.0890e+03 3.2969e+03 5.1857e+03 3.3176e+03 5.1701e+03 3.9278e+03 4.2549e+03 4.0090e+03 4.1690e+03
15.2500 3.8396e+03 3.1015e+03 4.8585e+03 3.1204e+03 4.8442e+03 3.6911e+03 3.9927e+03 3.7654e+03 3.9138e+03
15.5000 3.6076e+03 2.9186e+03 4.5559e+03 2.9360e+03 4.5426e+03 3.4707e+03 3.7491e+03 3.5380e+03 3.6784e+03
15.7500 3.3930e+03 2.7492e+03 4.2751e+03 2.7654e+03 4.2630e+03 3.2654e+03 3.5229e+03 3.3269e+03 3.4591e+03
16.0000 3.1923e+03 2.5906e+03 4.0145e+03 2.6054e+03 4.0032e+03 3.0752e+03 3.3130e+03 3.1308e+03 3.2550e+03
16.2500 3.0056e+03 2.4432e+03 3.7712e+03 2.4569e+03 3.7607e+03 2.8965e+03 3.1169e+03 2.9476e+03 3.0647e+03
16.5000 2.8316e+03 2.3050e+03 3.5467e+03 2.3177e+03 3.5368e+03 2.7306e+03 2.9360e+03 2.7770e+03 2.8872e+03
16.7500 2.6703e+03 2.1771e+03 3.3368e+03 2.1889e+03 3.3280e+03 2.5764e+03 2.7654e+03 2.6181e+03 2.7214e+03
17.0000 2.5184e+03 2.0562e+03 3.1415e+03 2.0671e+03 3.1332e+03 2.4314e+03 2.6077e+03 2.4696e+03 2.5671e+03
17.2500 2.3768e+03 1.9436e+03 2.9601e+03 1.9534e+03 2.9522e+03 2.2968e+03 2.4604e+03 2.3316e+03 2.4232e+03
17.5000 2.2458e+03 1.8384e+03 2.7900e+03 1.8479e+03 2.7828e+03 2.1704e+03 2.3223e+03 2.2017e+03 2.2887e+03
17.7500 2.1216e+03 1.7395e+03 2.6319e+03 1.7481e+03 2.6251e+03 2.0520e+03 2.1936e+03 2.0810e+03 2.1634e+03
18.0000 2.0056e+03 1.6473e+03 2.4842e+03 1.6553e+03 2.4778e+03 1.9407e+03 2.0729e+03 1.9674e+03 2.0451e+03
18.2500 1.8978e+03 1.5608e+03 2.3455e+03 1.5683e+03 2.3397e+03 1.8374e+03 1.9592e+03 1.8606e+03 1.9349e+03
18.5000 1.7968e+03 1.4789e+03 2.2163e+03 1.4860e+03 2.2110e+03 1.7400e+03 1.8537e+03 1.7620e+03 1.8316e+03
18.7500 1.7017e+03 1.4027e+03 2.0953e+03 1.4094e+03 2.0903e+03 1.6484e+03 1.7551e+03 1.6681e+03 1.7342e+03
19.0000 1.6124e+03 1.3312e+03 1.9825e+03 1.3375e+03 1.9778e+03 1.5625e+03 1.6623e+03 1.5811e+03 1.6437e+03
19.2500 1.5289e+03 1.2632e+03 1.8766e+03 1.2690e+03 1.8722e+03 1.4825e+03 1.5753e+03 1.4987e+03 1.5579e+03
19.5000 1.4500e+03 1.1996e+03 1.7765e+03 1.2052e+03 1.7725e+03 1.4059e+03 1.4929e+03 1.4210e+03 1.4778e+03
19.7500 1.3758e+03 1.1399e+03 1.6835e+03 1.1449e+03 1.6797e+03 1.3352e+03 1.4164e+03 1.3491e+03 1.4024e+03
20.0000 1.3062e+03 1.0834e+03 1.5964e+03 1.0882e+03 1.5927e+03 1.2679e+03 1.3444e+03 1.2806e+03 1.3317e+03
20.2500 1.2412e+03 1.0303e+03 1.5137e+03 1.0348e+03 1.5103e+03 1.2052e+03 1.2760e+03 1.2168e+03 1.2656e+03
20.5000 1.1797e+03 9.8020e+02 1.4356e+03 9.8449e+02 1.4326e+03 1.1460e+03 1.2122e+03 1.1562e+03 1.2018e+03
20.7500 1.1211e+03 9.3315e+02 1.3637e+03 9.3705e+02 1.3607e+03 1.0899e+03 1.1525e+03 1.0993e+03 1.1431e+03
21.0000 1.0665e+03 8.8859e+02 1.2951e+03 8.9227e+02 1.2922e+03 1.0372e+03 1.0958e+03 1.0456e+03 1.0874e+03
21.2500 1.0150e+03 8.4657e+02 1.2311e+03 8.5005e+02 1.2284e+03 9.8739e+02 1.0425e+03 9.9505e+02 1.0348e+03
21.5000 9.6628e+02 8.0678e+02 1.1706e+03 8.1003e+02 1.1681e+03 9.4041e+02 9.9215e+02 9.4737e+02 9.8519e+02
21.7500 9.2034e+02 7.6928e+02 1.1130e+03 7.7233e+02 1.1106e+03 8.9610e+02 9.4459e+02 9.0236e+02 9.3844e+02
22.0000 8.7696e+02 7.3372e+02 1.0591e+03 7.3660e+02 1.0569e+03 8.5411e+02 8.9981e+02 8.5979e+02 8.9413e+02
22.2500 8.3601e+02 7.0011e+02 1.0082e+03 7.0284e+02 1.0061e+03 8.1444e+02 8.5747e+02 8.1954e+02 8.5237e+02
22.5000 7.9727e+02 6.6837e+02 9.6028e+02 6.7094e+02 9.5828e+02 7.7697e+02 8.1734e+02 7.8161e+02 8.1293e+02
22.7500 7.6061e+02 6.3825e+02 9.1493e+02 6.4067e+02 9.1304e+02 7.4159e+02 7.7952e+02 7.4565e+02 7.7558e+02
23.0000 7.2593e+02 6.0973e+02 8.7215e+02 6.1202e+02 8.7035e+02 7.0795e+02 7.4379e+02 7.1166e+02 7.4020e+02
23.2500 6.9310e+02 5.8270e+02 8.3168e+02 5.8487e+02 8.2998e+02 6.7616e+02 7.0992e+02 6.7941e+02 7.0667e+02
23.5000 6.6201e+02 5.5706e+02 7.9330e+02 5.5912e+02 7.9170e+02 6.4600e+02 6.7779e+02 6.4890e+02 6.7500e+02
23.7500 6.3255e+02 5.3281e+02 7.5715e+02 5.3476e+02 7.5562e+02 6.1747e+02 6.4751e+02 6.2002e+02 6.4496e+02
24.0000 6.0459e+02 5.0972e+02 7.2286e+02 5.1156e+02 7.2140e+02 5.9032e+02 6.1874e+02 5.9264e+02 6.1654e+02
24.2500 5.7814e+02 4.8789e+02 6.9042e+02 4.8964e+02 6.8904e+02 5.6469e+02 5.9148e+02 5.6666e+02 5.8951e+02
24.5000 5.5297e+02 4.6712e+02 6.5963e+02 4.6876e+02 6.5830e+02 5.4033e+02 5.6562e+02 5.4207e+02 5.6399e+02
24.7500 5.2919e+02 4.4722e+02 6.3042e+02 4.4880e+02 6.2918e+02 5.1713e+02 5.4102e+02 5.1864e+02 5.3963e+02
25.0000 5.0646e+02 4.2855e+02 6.0277e+02 4.3001e+02 6.0158e+02 4.9520e+02 5.1771e+02 4.9648e+02 5.1655e+02
25.2500 4.8500e+02 4.1063e+02 5.7661e+02 4.1203e+02 5.7548e+02 4.7432e+02 4.9567e+02 4.7537e+02 4.9462e+02
25.5000 4.6458e+02 3.9363e+02 5.5160e+02 3.9498e+02 5.5054e+02 4.5437e+02 4.7456e+02 4.5530e+02 4.7374e+02
25.7500 4.4509e+02 3.7747e+02 5.2802e+02 3.7874e+02 5.2699e+02 4.3546e+02 4.5460e+02 4.3628e+02 4.5402e+02
26.0000 4.2665e+02 3.6209e+02 5.0558e+02 3.6331e+02 5.0460e+02 4.1748e+02 4.3570e+02 4.1818e+02 4.3512e+02
26.2500 4.0902e+02 3.4744e+02 4.8420e+02 3.4858e+02 4.8326e+02 4.0043e+02 4.1760e+02 4.0090e+02 4.1725e+02
26.5000 3.9231e+02 3.3357e+02 4.6397e+02 3.3466e+02 4.6307e+02 3.8419e+02 4.0043e+02 3.8454e+02 4.0020e+02
26.7500 3.7642e+02 3.2015e+02 4.4467e+02 3.2120e+02 4.4382e+02 3.6865e+02 3.8408e+02 3.6888e+02 3.8396e+02
27.0000 3.6122e+02 3.0756e+02 4.2630e+02 3.0856e+02 4.2549e+02 3.5380e+02 3.6853e+02 3.5403e+02 3.6842e+02
27.2500 3.4672e+02 2.9544e+02 4.0887e+02 2.9638e+02 4.0809e+02 3.3976e+02 3.5368e+02 3.3988e+02 3.5368e+02
27.5000 3.3304e+02 2.8385e+02 3.9223e+02 2.8478e+02 3.9150e+02 3.2631e+02 3.3953e+02 3.2631e+02 3.3965e+02
27.7500 3.1981e+02 2.7290e+02 3.7645e+02 2.7376e+02 3.7572e+02 3.1355e+02 3.2608e+02 3.1343e+02 3.2631e+02
28.0000 3.0728e+02 2.6237e+02 3.6132e+02 2.6320e+02 3.6064e+02 3.0125e+02 3.1320e+02 3.0114e+02 3.1343e+02
28.2500 2.9534e+02 2.5232e+02 3.4690e+02 2.5311e+02 3.4626e+02 2.8965e+02 3.0090e+02 2.8942e+02 3.0125e+02
28.5000 2.8397e+02 2.4272e+02 3.3319e+02 2.4348e+02 3.3257e+02 2.7852e+02 2.8930e+02 2.7828e+02 2.8965e+02
28.7500 2.7306e+02 2.3359e+02 3.2018e+02 2.3432e+02 3.1958e+02 2.6784e+02 2.7817e+02 2.6761e+02 2.7852e+02
29.0000 2.6262e+02 2.2482e+02 3.0775e+02 2.2550e+02 3.0717e+02 2.5775e+02 2.6750e+02 2.5740e+02 2.6796e+02
29.2500 2.5265e+02 2.1650e+02 2.9578e+02 2.1715e+02 2.9522e+02 2.4801e+02 2.5729e+02 2.4766e+02 2.5775e+02
29.5000 2.4325e+02 2.0849e+02 2.8448e+02 2.0915e+02 2.8397e+02 2.3873e+02 2.4754e+02 2.3826e+02 2.4812e+02
29.7500 2.3409e+02 2.0077e+02 2.7357e+02 2.0138e+02 2.7306e+02 2.2991e+02 2.3826e+02 2.2933e+02 2.3884e+02
30.0000 2.2539e+02 1.9348e+02 2.6325e+02 1.9407e+02 2.6274e+02 2.2133e+02 2.2945e+02 2.2086e+02 2.3003e+02
30.2500 2.1715e+02 1.8642e+02 2.5334e+02 1.8699e+02 2.5288e+02 2.1321e+02 2.2086e+02 2.1274e+02 2.2156e+02
30.5000 2.0915e+02 1.7973e+02 2.4382e+02 1.8026e+02 2.4337e+02 2.0544e+02 2.1274e+02 2.0497e+02 2.1344e+02
30.7500 2.0161e+02 1.7323e+02 2.3486e+02 1.7377e+02 2.3444e+02 1.9801e+02 2.0497e+02 1.9743e+02 2.0567e+02
31.0000 1.9430e+02 1.6712e+02 2.2615e+02 1.6762e+02 2.2574e+02 1.9094e+02 1.9755e+02 1.9036e+02 1.9824e+02
31.2500 1.8734e+02 1.6122e+02 2.1789e+02 1.6170e+02 2.1750e+02 1.8409e+02 1.9047e+02 1.8351e+02 1.9105e+02
31.5000 1.8061e+02 1.5556e+02 2.1000e+02 1.5602e+02 2.0961e+02 1.7760e+02 1.8363e+02 1.7690e+02 1.8432e+02
31.7500 1.7423e+02 1.5012e+02 2.0232e+02 1.5057e+02 2.0196e+02 1.7133e+02 1.7713e+02 1.7064e+02 1.7771e+02
32.0000 1.6808e+02 1.4493e+02 1.9512e+02 1.4535e+02 1.9476e+02 1.6530e+02 1.7087e+02 1.6472e+02 1.7145e+02
32.2500 1.6217e+02 1.3996e+02 1.8816e+02 1.4036e+02 1.8780e+02 1.5950e+02 1.6484e+02 1.5892e+02 1.6553e+02
32.5000 1.5660e+02 1.3509e+02 1.8140e+02 1.3549e+02 1.8108e+02 1.5405e+02 1.5904e+02 1.5335e+02 1.5973e+02
32.7500 1.5115e+02 1.3058e+02 1.7503e+02 1.3096e+02 1.7470e+02 1.4871e+02 1.5358e+02 1.4802e+02 1.5428e+02
33.0000 1.4593e+02 1.2609e+02 1.6898e+02 1.2644e+02 1.6866e+02 1.4361e+02 1.4825e+02 1.4303e+02 1.4894e+02
33.2500 1.4094e+02 1.2191e+02 1.6305e+02 1.2226e+02 1.6275e+02 1.3874e+02 1.4314e+02 1.3804e+02 1.4384e+02
33.5000 1.3618e+02 1.1776e+02 1.5747e+02 1.1809e+02 1.5718e+02 1.3410e+02 1.3827e+02 1.3340e+02 1.3897e+02
33.7500 1.3154e+02 1.1389e+02 1.5203e+02 1.1420e+02 1.5173e+02 1.2957e+02 1.3363e+02 1.2888e+02 1.3433e+02
34.0000 1.2714e+02 1.1012e+02 1.4679e+02 1.1042e+02 1.4651e+02 1.2528e+02 1.2911e+02 1.2458e+02 1.2980e+02
34.2500 1.2296e+02 1.0648e+02 1.4179e+02 1.0679e+02 1.4152e+02 1.2110e+02 1.2482e+02 1.2041e+02 1.2551e+02
34.5000 1.1890e+02 1.0301e+02 1.3701e+02 1.0331e+02 1.3676e+02 1.1704e+02 1.2064e+02 1.1646e+02 1.2134e+02
34.7500 1.1496e+02 9.9675e+01 1.3248e+02 9.9957e+01 1.3224e+02 1.1323e+02 1.1670e+02 1.1260e+02 1.1728e+02
35.0000 1.1120e+02 9.6448e+01 1.2807e+02 9.6721e+01 1.2783e+02 1.0954e+02 1.1281e+02 1.0891e+02 1.1348e+02
35.2500 1.0758e+02 9.3347e+01 1.2377e+02 9.3612e+01 1.2354e+02 1.0598e+02 1.0912e+02 1.0536e+02 1.0978e+02
35.5000 1.0410e+02 9.0375e+01 1.1970e+02 9.0631e+01 1.1948e+02 1.0257e+02 1.0558e+02 1.0195e+02 1.0623e+02
35.7500 1.0075e+02 8.7508e+01 1.1578e+02 8.7754e+01 1.1557e+02 9.9284e+01 1.0217e+02 9.8670e+01 1.0282e+02
36.0000 9.7521e+01 8.4745e+01 1.1202e+02 8.4982e+01 1.1181e+02 9.6118e+01 9.8890e+01 9.5514e+01 9.9528e+01
36.2500 9.4424e+01 8.2083e+01 1.0839e+02 8.2314e+01 1.0819e+02 9.3067e+01 9.5735e+01 9.2475e+01 9.6373e+01
36.5000 9.1431e+01 7.9529e+01 1.0491e+02 7.9750e+01 1.0471e+02 9.0132e+01 9.2696e+01 8.9552e+01 9.3322e+01
36.7500 8.8554e+01 7.7054e+01 1.0155e+02 7.7268e+01 1.0136e+02 8.7313e+01 8.9772e+01 8.6733e+01 9.0387e+01
37.0000 8.5794e+01 7.4680e+01 9.8315e+01 7.4890e+01 9.8136e+01 8.4587e+01 8.6954e+01 8.4019e+01 8.7557e+01
37.2500 8.3126e+01 7.2378e+01 9.5202e+01 7.2581e+01 9.5027e+01 8.1966e+01 8.4239e+01 8.1397e+01 8.4842e+01
37.5000 8.0550e+01 7.0170e+01 9.2217e+01 7.0366e+01 9.2046e+01 7.9437e+01 8.1629e+01 7.8880e+01 8.2221e+01
37.7500 7.8068e+01 6.8043e+01 8.9336e+01 6.8231e+01 8.9169e+01 7.7001e+01 7.9112e+01 7.6456e+01 7.9692e+01
38.0000 7.5678e+01 6.5984e+01 8.6547e+01 6.6166e+01 8.6385e+01 7.4658e+01 7.6676e+01 7.4112e+01 7.7256e+01
38.2500 7.3382e+01 6.4006e+01 8.3873e+01 6.4183e+01 8.3717e+01 7.2396e+01 7.4344e+01 7.1862e+01 7.4901e+01
38.5000 7.1154e+01 6.2099e+01 8.1294e+01 6.2269e+01 8.1142e+01 7.0215e+01 7.2082e+01 6.9681e+01 7.2639e+01
