# Job started on: Wed Mar 22 19:10:53 CET 2023 ..............
# FONLL heavy quark hadroproduction cross section, calculated on Wed Mar 22 19:13:07 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 10
# etamin = -4
# etamax = 4
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
  -4.0000 1.0036e+05 6.1154e+04 1.4744e+05 6.3917e+04 1.4401e+05 8.5899e+04 1.1798e+05
  -3.7419 1.0868e+05 6.5671e+04 1.5926e+05 6.8492e+04 1.5574e+05 9.3359e+04 1.2722e+05
  -3.4839 1.1632e+05 6.9740e+04 1.7007e+05 7.2606e+04 1.6646e+05 1.0024e+05 1.3569e+05
  -3.2258 1.2317e+05 7.3346e+04 1.7975e+05 7.6228e+04 1.7606e+05 1.0647e+05 1.4325e+05
  -2.9677 1.2906e+05 7.6441e+04 1.8802e+05 7.9329e+04 1.8429e+05 1.1187e+05 1.4969e+05
  -2.7097 1.3382e+05 7.8960e+04 1.9463e+05 8.1846e+04 1.9089e+05 1.1626e+05 1.5482e+05
  -2.4516 1.3717e+05 8.0773e+04 1.9921e+05 8.3627e+04 1.9550e+05 1.1945e+05 1.5832e+05
  -2.1936 1.3889e+05 8.1704e+04 2.0142e+05 8.4517e+04 1.9777e+05 1.2117e+05 1.5995e+05
  -1.9355 1.3867e+05 8.1642e+04 2.0088e+05 8.4364e+04 1.9734e+05 1.2126e+05 1.5936e+05
  -1.6774 1.3646e+05 8.0488e+04 1.9740e+05 8.3105e+04 1.9402e+05 1.1955e+05 1.5648e+05
  -1.4194 1.3226e+05 7.8269e+04 1.9110e+05 8.0741e+04 1.8792e+05 1.1611e+05 1.5135e+05
  -1.1613 1.2645e+05 7.5145e+04 1.8252e+05 7.7456e+04 1.7956e+05 1.1123e+05 1.4441e+05
  -0.9032 1.1976e+05 7.1479e+04 1.7271e+05 7.3619e+04 1.6999e+05 1.0555e+05 1.3652e+05
  -0.6452 1.1319e+05 6.7821e+04 1.6308e+05 6.9812e+04 1.6056e+05 9.9898e+04 1.2885e+05
  -0.3871 1.0791e+05 6.4870e+04 1.5539e+05 6.6742e+04 1.5304e+05 9.5354e+04 1.2268e+05
  -0.1290 1.0496e+05 6.3213e+04 1.5111e+05 6.5023e+04 1.4883e+05 9.2806e+04 1.1927e+05
   0.1290 1.0496e+05 6.3213e+04 1.5111e+05 6.5023e+04 1.4883e+05 9.2806e+04 1.1927e+05
   0.3871 1.0791e+05 6.4870e+04 1.5539e+05 6.6742e+04 1.5304e+05 9.5354e+04 1.2268e+05
   0.6452 1.1322e+05 6.7842e+04 1.6310e+05 6.9842e+04 1.6059e+05 9.9898e+04 1.2885e+05
   0.9032 1.1979e+05 7.1471e+04 1.7270e+05 7.3619e+04 1.6999e+05 1.0555e+05 1.3652e+05
   1.1613 1.2648e+05 7.5146e+04 1.8254e+05 7.7456e+04 1.7960e+05 1.1126e+05 1.4441e+05
   1.4194 1.3226e+05 7.8298e+04 1.9110e+05 8.0772e+04 1.8792e+05 1.1611e+05 1.5135e+05
   1.6774 1.3646e+05 8.0488e+04 1.9740e+05 8.3105e+04 1.9402e+05 1.1955e+05 1.5648e+05
   1.9355 1.3870e+05 8.1634e+04 2.0091e+05 8.4364e+04 1.9737e+05 1.2126e+05 1.5939e+05
   2.1936 1.3892e+05 8.1706e+04 2.0148e+05 8.4517e+04 1.9783e+05 1.2120e+05 1.5998e+05
   2.4516 1.3723e+05 8.0766e+04 1.9927e+05 8.3627e+04 1.9556e+05 1.1948e+05 1.5835e+05
   2.7097 1.3385e+05 7.8962e+04 1.9469e+05 8.1846e+04 1.9095e+05 1.1629e+05 1.5485e+05
   2.9677 1.2909e+05 7.6443e+04 1.8804e+05 7.9329e+04 1.8432e+05 1.1190e+05 1.4969e+05
   3.2258 1.2317e+05 7.3346e+04 1.7978e+05 7.6228e+04 1.7610e+05 1.0647e+05 1.4325e+05
   3.4839 1.1632e+05 6.9750e+04 1.7011e+05 7.2606e+04 1.6649e+05 1.0027e+05 1.3572e+05
   3.7419 1.0868e+05 6.5671e+04 1.5930e+05 6.8492e+04 1.5577e+05 9.3359e+04 1.2725e+05
   4.0000 1.0039e+05 6.1144e+04 1.4748e+05 6.3917e+04 1.4408e+05 8.5899e+04 1.1798e+05
