# Job started on: Wed Mar 22 19:18:45 CET 2023 ............
# FONLL heavy quark hadroproduction cross section, calculated on Wed Mar 22 19:20:42 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 10
# ymin  = -4
# ymax  = 4
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dy (pb)
# y       central      min       max       min_sc     max_sc     min_mass   max_mass
  -4.0000 8.2276e+04 5.2697e+04 1.2130e+05 5.5352e+04 1.1829e+05 7.0027e+04 9.7319e+04
  -3.7419 9.2376e+04 5.8438e+04 1.3579e+05 6.1216e+04 1.3259e+05 7.8930e+04 1.0874e+05
  -3.4839 1.0202e+05 6.3768e+04 1.4964e+05 6.6619e+04 1.4626e+05 8.7526e+04 1.1964e+05
  -3.2258 1.1116e+05 6.8664e+04 1.6274e+05 7.1592e+04 1.5921e+05 9.5661e+04 1.2992e+05
  -2.9677 1.1970e+05 7.3096e+04 1.7491e+05 7.6075e+04 1.7124e+05 1.0331e+05 1.3947e+05
  -2.7097 1.2762e+05 7.7082e+04 1.8620e+05 8.0096e+04 1.8242e+05 1.1043e+05 1.4831e+05
  -2.4516 1.3493e+05 8.0681e+04 1.9657e+05 8.3719e+04 1.9270e+05 1.1703e+05 1.5642e+05
  -2.1936 1.4162e+05 8.3932e+04 2.0605e+05 8.7004e+04 2.0210e+05 1.2305e+05 1.6385e+05
  -1.9355 1.4770e+05 8.6876e+04 2.1467e+05 8.9982e+04 2.1063e+05 1.2851e+05 1.7060e+05
  -1.6774 1.5307e+05 8.9519e+04 2.2233e+05 9.2653e+04 2.1822e+05 1.3336e+05 1.7659e+05
  -1.4194 1.5774e+05 9.1765e+04 2.2897e+05 9.4924e+04 2.2478e+05 1.3757e+05 1.8180e+05
  -1.1613 1.6167e+05 9.3663e+04 2.3456e+05 9.6858e+04 2.3031e+05 1.4107e+05 1.8620e+05
  -0.9032 1.6480e+05 9.5141e+04 2.3903e+05 9.8363e+04 2.3473e+05 1.4386e+05 1.8970e+05
  -0.6452 1.6713e+05 9.6268e+04 2.4239e+05 9.9499e+04 2.3805e+05 1.4598e+05 1.9234e+05
  -0.3871 1.6870e+05 9.6998e+04 2.4463e+05 1.0024e+05 2.4026e+05 1.4739e+05 1.9408e+05
  -0.1290 1.6950e+05 9.7378e+04 2.4574e+05 1.0064e+05 2.4136e+05 1.4807e+05 1.9494e+05
   0.1290 1.6950e+05 9.7348e+04 2.4574e+05 1.0060e+05 2.4136e+05 1.4807e+05 1.9494e+05
   0.3871 1.6873e+05 9.7018e+04 2.4466e+05 1.0027e+05 2.4029e+05 1.4739e+05 1.9412e+05
   0.6452 1.6719e+05 9.6262e+04 2.4244e+05 9.9499e+04 2.3811e+05 1.4601e+05 1.9237e+05
   0.9032 1.6483e+05 9.5143e+04 2.3909e+05 9.8363e+04 2.3479e+05 1.4389e+05 1.8973e+05
   1.1613 1.6170e+05 9.3665e+04 2.3459e+05 9.6858e+04 2.3034e+05 1.4110e+05 1.8623e+05
   1.4194 1.5777e+05 9.1787e+04 2.2901e+05 9.4955e+04 2.2482e+05 1.3757e+05 1.8184e+05
   1.6774 1.5310e+05 8.9521e+04 2.2236e+05 9.2653e+04 2.1825e+05 1.3339e+05 1.7662e+05
   1.9355 1.4770e+05 8.6885e+04 2.1470e+05 8.9982e+04 2.1066e+05 1.2854e+05 1.7060e+05
   2.1936 1.4165e+05 8.3933e+04 2.0608e+05 8.7004e+04 2.0213e+05 1.2308e+05 1.6388e+05
   2.4516 1.3496e+05 8.0673e+04 1.9660e+05 8.3719e+04 1.9274e+05 1.1703e+05 1.5645e+05
   2.7097 1.2765e+05 7.7084e+04 1.8623e+05 8.0096e+04 1.8245e+05 1.1046e+05 1.4834e+05
   2.9677 1.1973e+05 7.3098e+04 1.7497e+05 7.6075e+04 1.7131e+05 1.0334e+05 1.3950e+05
   3.2258 1.1116e+05 6.8675e+04 1.6275e+05 7.1592e+04 1.5921e+05 9.5692e+04 1.2995e+05
   3.4839 1.0205e+05 6.3787e+04 1.4967e+05 6.6650e+04 1.4629e+05 8.7526e+04 1.1967e+05
   3.7419 9.2376e+04 5.8450e+04 1.3583e+05 6.1216e+04 1.3262e+05 7.8960e+04 1.0877e+05
   4.0000 8.2307e+04 5.2715e+04 1.2133e+05 5.5383e+04 1.1832e+05 7.0027e+04 9.7350e+04
