# FONLL heavy quark hadroproduction cross section, calculated on Tue Feb 21 21:27:56 CET 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = psi(2S) from a single B. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# BR(B->psi(2S)) = 0.00307
# ebeam1 = 6800, ebeam2 = 6800
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 50
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
0.2500 1.1718e+03 5.2458e+02 1.7888e+03 5.5997e+02 1.7312e+03 9.7043e+02 1.4245e+03 1.1086e+03 1.2348e+03
0.5000 4.5037e+03 2.0338e+03 6.8448e+03 2.1687e+03 6.6251e+03 3.7362e+03 5.4646e+03 4.2612e+03 4.7431e+03
0.7500 9.4894e+03 4.3458e+03 1.4343e+04 4.6265e+03 1.3886e+04 7.8899e+03 1.1485e+04 8.9890e+03 9.9867e+03
1.0000 1.5445e+04 7.1974e+03 2.3183e+04 7.6443e+03 2.2454e+04 1.2888e+04 1.8626e+04 1.4650e+04 1.6240e+04
1.2500 2.1690e+04 1.0316e+04 3.2311e+04 1.0929e+04 3.1314e+04 1.8168e+04 2.6049e+04 2.0603e+04 2.2776e+04
1.5000 2.7636e+04 1.3431e+04 4.0915e+04 1.4193e+04 3.9695e+04 2.3249e+04 3.3033e+04 2.6294e+04 2.8975e+04
1.7500 3.2849e+04 1.6311e+04 4.8346e+04 1.7192e+04 4.6971e+04 2.7750e+04 3.9050e+04 3.1314e+04 3.4353e+04
2.0000 3.7055e+04 1.8829e+04 5.4323e+04 1.9786e+04 5.2835e+04 3.1468e+04 4.3870e+04 3.5397e+04 3.8713e+04
2.2500 4.0186e+04 2.0872e+04 5.8733e+04 2.1874e+04 5.7225e+04 3.4292e+04 4.7309e+04 3.8467e+04 4.1906e+04
2.5000 4.2212e+04 2.2419e+04 6.1601e+04 2.3424e+04 6.0111e+04 3.6226e+04 4.9458e+04 4.0493e+04 4.3962e+04
2.7500 4.3256e+04 2.3442e+04 6.2992e+04 2.4443e+04 6.1584e+04 3.7270e+04 5.0379e+04 4.1568e+04 4.4945e+04
3.0000 4.3379e+04 2.4010e+04 6.3119e+04 2.4968e+04 6.1799e+04 3.7577e+04 5.0287e+04 4.1783e+04 4.5006e+04
3.2500 4.2796e+04 2.4144e+04 6.2198e+04 2.5057e+04 6.1001e+04 3.7239e+04 4.9335e+04 4.1261e+04 4.4300e+04
3.5000 4.1598e+04 2.3945e+04 6.0418e+04 2.4784e+04 5.9343e+04 3.6410e+04 4.7708e+04 4.0186e+04 4.3011e+04
3.7500 4.0002e+04 2.3438e+04 5.8018e+04 2.4219e+04 5.7071e+04 3.5152e+04 4.5620e+04 3.8682e+04 4.1292e+04
4.0000 3.8068e+04 2.2722e+04 5.5179e+04 2.3430e+04 5.4339e+04 3.3616e+04 4.3226e+04 3.6871e+04 3.9265e+04
4.2500 3.5950e+04 2.1844e+04 5.2040e+04 2.2482e+04 5.1300e+04 3.1897e+04 4.0647e+04 3.4875e+04 3.7055e+04
4.5000 3.3770e+04 2.0843e+04 4.8773e+04 2.1419e+04 4.8138e+04 3.0083e+04 3.7976e+04 3.2788e+04 3.4752e+04
4.7500 3.1529e+04 1.9784e+04 4.5473e+04 2.0296e+04 4.4914e+04 2.8216e+04 3.5336e+04 3.0648e+04 3.2419e+04
5.0000 2.9340e+04 1.8685e+04 4.2201e+04 1.9144e+04 4.1721e+04 2.6350e+04 3.2726e+04 2.8536e+04 3.0144e+04
5.2500 2.7206e+04 1.7584e+04 3.9070e+04 1.7993e+04 3.8651e+04 2.4526e+04 3.0243e+04 2.6482e+04 2.7934e+04
5.5000 2.5168e+04 1.6493e+04 3.6036e+04 1.6857e+04 3.5673e+04 2.2767e+04 2.7872e+04 2.4514e+04 2.5825e+04
5.7500 2.3240e+04 1.5432e+04 3.3194e+04 1.5758e+04 3.2880e+04 2.1088e+04 2.5650e+04 2.2647e+04 2.3829e+04
6.0000 2.1426e+04 1.4410e+04 3.0510e+04 1.4699e+04 3.0236e+04 1.9504e+04 2.3574e+04 2.0894e+04 2.1960e+04
6.2500 1.9737e+04 1.3431e+04 2.8022e+04 1.3689e+04 2.7784e+04 1.8018e+04 2.1650e+04 1.9255e+04 2.0219e+04
